Service Delivery Area(T),Service Delivery Team(T),CostC,ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount,,,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,04/11/2014,136,,,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,04/11/2014,105.65,,,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,04/11/2014,130.2,,,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,04/11/2014,103.9,,,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,04/11/2014,219.28,,,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,04/11/2014,138.38,,,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,04/11/2014,147.6,,,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,04/11/2014,109.73,,,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,04/11/2014,303.47,,,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,04/11/2014,223.84,,,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,04/11/2014,148.82,,,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,04/11/2014,156.12,,,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,04/11/2014,266.17,,,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,04/11/2014,247.37,,,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,04/11/2014,396.14,,,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,04/11/2014,114.82,,,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,04/11/2014,152.88,,,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,04/11/2014,113.41,,,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,04/11/2014,110.94,,,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,07/11/2014,-147.6,,,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,07/11/2014,-109.73,,,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,07/11/2014,-303.47,,,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,07/11/2014,-223.84,,,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,07/11/2014,-148.82,,,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,07/11/2014,-152.88,,,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,07/11/2014,-103.9,,,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,07/11/2014,-113.41,,,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,07/11/2014,-110.94,,,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,07/11/2014,-219.28,,,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,07/11/2014,114,,,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,07/11/2014,-138.38,,,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,07/11/2014,-156.12,,,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,07/11/2014,-266.17,,,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,07/11/2014,-247.37,,,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,07/11/2014,-396.14,,,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,07/11/2014,-114.82,,,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,07/11/2014,-190.4,,,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,07/11/2014,-136,,,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,07/11/2014,-105.65,,,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,07/11/2014,-130.2,,,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,26/11/2014,163.39,,,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,26/11/2014,104.45,,,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,19/11/2014,163.43,,,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,19/11/2014,108.49,,,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,19/11/2014,149.57,,,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,19/11/2014,129.27,,,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,19/11/2014,132.83,,,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,19/11/2014,102.55,,,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,19/11/2014,163.9,,,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,19/11/2014,120.46,,,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,19/11/2014,131.73,,,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,19/11/2014,127.91,,,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,19/11/2014,102.56,,,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,19/11/2014,102.39,,,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,19/11/2014,109.4,,,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,19/11/2014,113.81,,,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,19/11/2014,158.72,,,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,26/11/2014,104.9,,,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,26/11/2014,187.8,,,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,26/11/2014,112.84,,,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,26/11/2014,115.31,,,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,26/11/2014,161.78,,,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,26/11/2014,141.75,,,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,10/11/2014,116.04,,,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,10/11/2014,144.62,,,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,10/11/2014,109.12,,,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,10/11/2014,134.91,,,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,10/11/2014,145.26,,,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,10/11/2014,101.94,,,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,10/11/2014,127.51,,,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,10/11/2014,122.07,,,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,10/11/2014,117.62,,,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,10/11/2014,123.05,,,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,26/11/2014,136.79,,,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,26/11/2014,104.81,,,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,SMART FOOD,28/11/2014,152.8,,,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,SMART FOOD,28/11/2014,183.8,,,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,SMART FOOD,17/11/2014,152.80,,,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,SMART FOOD,17/11/2014,413.00,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Equipment - Repair,NATIONWIDE RETAIL SYSTEMS LTD,28/11/2014,299,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Equipment - Repair,NATIONWIDE RETAIL SYSTEMS LTD,28/11/2014,1625.8,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,BDO LLP Administrators for The Fabulous Bakin' Boys Ltd,05/11/2014,-216.2,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,14/11/2014,148.41,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,14/11/2014,109.65,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,14/11/2014,415.07,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,14/11/2014,197.21,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,14/11/2014,465.34,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,14/11/2014,134.95,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,14/11/2014,267.10,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,14/11/2014,189.35,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,14/11/2014,163.89,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,14/11/2014,145.04,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,14/11/2014,115.97,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,14/11/2014,542.33,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,14/11/2014,212.77,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,28/11/2014,176.46,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,28/11/2014,115.82,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,28/11/2014,272.71,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,28/11/2014,123.47,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,28/11/2014,159.81,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,28/11/2014,221.7,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,28/11/2014,133.76,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,28/11/2014,138.71,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,28/11/2014,346.92,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,28/11/2014,142.19,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,28/11/2014,561.61,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,28/11/2014,106.29,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,28/11/2014,184.45,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,28/11/2014,128.35,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,28/11/2014,183.19,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,28/11/2014,229.44,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,28/11/2014,197.09,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,28/11/2014,109.68,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,28/11/2014,173.9,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,10/11/2014,146.09,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,21/11/2014,139.76,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,21/11/2014,129.31,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,21/11/2014,108.11,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,21/11/2014,163.78,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,21/11/2014,205.04,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,21/11/2014,549.17,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,21/11/2014,126.26,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,21/11/2014,139.03,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,21/11/2014,496.95,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,21/11/2014,323.44,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,21/11/2014,300.43,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,21/11/2014,201.84,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,21/11/2014,111.81,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,21/11/2014,106.32,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,21/11/2014,145.51,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,21/11/2014,411.1,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,21/11/2014,119.17,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,10/11/2014,192.89,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,10/11/2014,750.28,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,10/11/2014,148.57,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,10/11/2014,242.84,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,10/11/2014,368.13,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,10/11/2014,207.69,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,10/11/2014,109.19,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,10/11/2014,107.86,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,10/11/2014,120.38,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,10/11/2014,203.72,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,10/11/2014,241.04,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,10/11/2014,170.69,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Bikold,10/11/2014,480.63,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Brambles Foods Ltd,10/11/2014,448.6,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Brambles Foods Ltd,17/11/2014,143.71,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Brambles Foods Ltd,17/11/2014,369.35,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,John Sheppard Catering Butchers,26/11/2014,152.37,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,John Sheppard Catering Butchers,04/11/2014,125.09,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,On A Roll,28/11/2014,330.90,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,On A Roll,28/11/2014,350.93,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,On A Roll,28/11/2014,353.75,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,On A Roll,28/11/2014,192.92,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,On A Roll,28/11/2014,380.66,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,On A Roll,28/11/2014,353.75,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,On A Roll,17/11/2014,203.48,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,On A Roll,17/11/2014,353.75,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,On A Roll,17/11/2014,216.88,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,On A Roll,17/11/2014,101.34,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,On A Roll,17/11/2014,343.85,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,On A Roll,17/11/2014,399.93,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,On A Roll,17/11/2014,352.5,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,RADNOR HILLS MINERAL WATER COMPANY LTD,28/11/2014,134.73,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,RADNOR HILLS MINERAL WATER COMPANY LTD,28/11/2014,195.03,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,RADNOR HILLS MINERAL WATER COMPANY LTD,28/11/2014,153.53,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,RADNOR HILLS MINERAL WATER COMPANY LTD,28/11/2014,119.76,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,RADNOR HILLS MINERAL WATER COMPANY LTD,28/11/2014,149.70,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,RADNOR HILLS MINERAL WATER COMPANY LTD,28/11/2014,328.24,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,RADNOR HILLS MINERAL WATER COMPANY LTD,28/11/2014,239.52,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,RADNOR HILLS MINERAL WATER COMPANY LTD,17/11/2014,186.63,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,RADNOR HILLS MINERAL WATER COMPANY LTD,17/11/2014,124.75,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,RADNOR HILLS MINERAL WATER COMPANY LTD,17/11/2014,269,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,RADNOR HILLS MINERAL WATER COMPANY LTD,17/11/2014,159.68,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,SMART FOOD,28/11/2014,495.8,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,SMART FOOD,28/11/2014,343.2,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,SMART FOOD,28/11/2014,327,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Tasties of Chester Ltd,28/11/2014,372.88,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Tasties of Chester Ltd,10/11/2014,409.9,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Tasties of Chester Ltd,10/11/2014,101.7,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Tasties of Chester Ltd,17/11/2014,101.7,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Tasties of Chester Ltd,17/11/2014,409.9,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Tasties of Chester Ltd,17/11/2014,101.7,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Tasties of Chester Ltd,17/11/2014,506.98,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Tasties of Chester Ltd,24/11/2014,-405.28,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,TROPICAL ICE,28/11/2014,185.00,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,TROPICAL ICE,28/11/2014,360,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,TROPICAL ICE,28/11/2014,150,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Willoughby (731) Ltd T/A The Fabulous Bakin' Boys,28/11/2014,166.88,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Willoughby (731) Ltd T/A The Fabulous Bakin' Boys,28/11/2014,125.1,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Willoughby (731) Ltd T/A The Fabulous Bakin' Boys,28/11/2014,156.45,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Willoughby (731) Ltd T/A The Fabulous Bakin' Boys,28/11/2014,110.22,,,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Willoughby (731) Ltd T/A The Fabulous Bakin' Boys,05/11/2014,216.2,,,,,,,,,
Customer Services,Catering,CASX,Supplies & Services,Equipment - Repair,NATIONWIDE RETAIL SYSTEMS LTD,28/11/2014,2075,,,,,,,,,
Customer Services,Catering,CASX,Supplies & Services,Provisions,Bikold,14/11/2014,189.81,,,,,,,,,
Customer Services,Catering,CASX,Supplies & Services,Provisions,Bikold,14/11/2014,131.98,,,,,,,,,
Customer Services,Catering,CASX,Supplies & Services,Provisions,Bikold,28/11/2014,114.87,,,,,,,,,
Customer Services,Catering,CASX,Supplies & Services,Provisions,Bikold,28/11/2014,206,,,,,,,,,
Customer Services,Catering,CASX,Supplies & Services,Provisions,Bikold,28/11/2014,181.29,,,,,,,,,
Customer Services,Catering,CASX,Supplies & Services,Provisions,Bikold,21/11/2014,118.91,,,,,,,,,
Customer Services,Catering,CASX,Supplies & Services,Provisions,Bikold,21/11/2014,208.52,,,,,,,,,
Customer Services,Catering,CASX,Supplies & Services,Provisions,Bikold,21/11/2014,172.74,,,,,,,,,
Customer Services,Catering,CASX,Supplies & Services,Provisions,Bikold,10/11/2014,116.21,,,,,,,,,
Customer Services,Catering,CASX,Supplies & Services,Provisions,Bikold,10/11/2014,340.3,,,,,,,,,
Customer Services,Catering,CASX,Supplies & Services,Provisions,Bikold,10/11/2014,160.48,,,,,,,,,
Customer Services,Catering,CFAN,Capital Financing Costs,Operating Notice of Change – Lifecycle Charge,PYRAMID SCHOOLS (HADLEY) LTD,06/11/2014,7757.12,,,,,,,,,
Customer Services,Catering,COMM,Supplies & Services,Provisions,Bikold,14/11/2014,129.73,,,,,,,,,
Customer Services,Catering,COMM,Supplies & Services,Provisions,Bikold,14/11/2014,142.14,,,,,,,,,
Customer Services,Catering,COMM,Supplies & Services,Provisions,Bikold,14/11/2014,146.17,,,,,,,,,
Customer Services,Catering,COMM,Supplies & Services,Provisions,Bikold,28/11/2014,194.87,,,,,,,,,
Customer Services,Catering,COMM,Supplies & Services,Provisions,Bikold,28/11/2014,274.47,,,,,,,,,
Customer Services,Catering,COMM,Supplies & Services,Provisions,Bikold,28/11/2014,112.77,,,,,,,,,
Customer Services,Catering,COMM,Supplies & Services,Provisions,Bikold,21/11/2014,105.93,,,,,,,,,
Customer Services,Catering,COMM,Supplies & Services,Provisions,Bikold,21/11/2014,191.27,,,,,,,,,
Customer Services,Catering,COMM,Supplies & Services,Provisions,Bikold,21/11/2014,165.52,,,,,,,,,
Customer Services,Catering,COMM,Supplies & Services,Provisions,Bikold,21/11/2014,101.4,,,,,,,,,
Customer Services,Catering,COMM,Supplies & Services,Provisions,Bikold,10/11/2014,233.94,,,,,,,,,
Customer Services,Catering,COMM,Supplies & Services,Provisions,Bikold,10/11/2014,113.32,,,,,,,,,
Customer Services,Catering,COMM,Supplies & Services,Provisions,Brambles Foods Ltd,21/11/2014,278.92,,,,,,,,,
Customer Services,Catering,COMM,Supplies & Services,Provisions,Brambles Foods Ltd,21/11/2014,515.16,,,,,,,,,
Customer Services,Catering,COMM,Supplies & Services,Provisions,Brambles Foods Ltd,17/11/2014,393.04,,,,,,,,,
Customer Services,Catering,COMM,Supplies & Services,Provisions,Brambles Foods Ltd,17/11/2014,178.48,,,,,,,,,
Customer Services,Catering,COMM,Supplies & Services,Provisions,Brambles Foods Ltd,17/11/2014,163.45,,,,,,,,,
Customer Services,Catering,COMM,Supplies & Services,Provisions,Brambles Foods Ltd,17/11/2014,330.95,,,,,,,,,
Customer Services,Catering,COMM,Supplies & Services,Provisions,On A Roll,04/11/2014,234.14,,,,,,,,,
Customer Services,Catering,COMM,Supplies & Services,Provisions,On A Roll,04/11/2014,375.46,,,,,,,,,
Customer Services,Catering,COMM,Supplies & Services,Provisions,On A Roll,04/11/2014,546.43,,,,,,,,,
Customer Services,Catering,COMM,Supplies & Services,Provisions,On A Roll,21/11/2014,421.32,,,,,,,,,
Customer Services,Catering,COMM,Supplies & Services,Provisions,On A Roll,21/11/2014,231.38,,,,,,,,,
Customer Services,Catering,LCAP,Supplies & Services,Provisions,Bikold,28/11/2014,148.67,,,,,,,,,
Customer Services,Catering,LCAP,Supplies & Services,Provisions,Bikold,10/11/2014,166.01,,,,,,,,,
Customer Services,Catering,LCAP,Supplies & Services,Provisions,Brambles Foods Ltd,21/11/2014,109.3,,,,,,,,,
Customer Services,Catering,LEIC,Supplies & Services,Provisions,Bikold,14/11/2014,200.56,,,,,,,,,
Customer Services,Catering,LEIC,Supplies & Services,Provisions,Bikold,14/11/2014,139.73,,,,,,,,,
Customer Services,Catering,LEIC,Supplies & Services,Provisions,Bikold,28/11/2014,629.28,,,,,,,,,
Customer Services,Catering,LEIC,Supplies & Services,Provisions,Bikold,28/11/2014,121.13,,,,,,,,,
Customer Services,Catering,LEIC,Supplies & Services,Provisions,Bikold,28/11/2014,211.39,,,,,,,,,
Customer Services,Catering,LEIC,Supplies & Services,Provisions,Bikold,28/11/2014,115.44,,,,,,,,,
Customer Services,Catering,LEIC,Supplies & Services,Provisions,Bikold,21/11/2014,173.65,,,,,,,,,
Customer Services,Catering,LEIC,Supplies & Services,Provisions,Bikold,21/11/2014,159.98,,,,,,,,,
Customer Services,Catering,LEIC,Supplies & Services,Provisions,Bikold,10/11/2014,283.81,,,,,,,,,
