Service Delivery Area(T),Service Delivery Team(T),CostC,ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,27/06/2014,115.95,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,27/06/2014,114.03,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,27/06/2014,111.71,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,27/06/2014,161.46,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,27/06/2014,111.70,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,27/06/2014,170.71,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,27/06/2014,116.93,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,27/06/2014,118.82,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,27/06/2014,387.46,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,27/06/2014,230.87,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,27/06/2014,104.63,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,27/06/2014,188.99,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,27/06/2014,313.89,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,27/06/2014,146.14,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,27/06/2014,212.69,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,27/06/2014,224.56,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,Brambles Foods Ltd,10/06/2014,134.64,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,23/06/2014,120.96,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,23/06/2014,182.07,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,23/06/2014,119.31,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,23/06/2014,118.02,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,23/06/2014,159.21,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,23/06/2014,106.75,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,23/06/2014,111.64,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,23/06/2014,102.22,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,23/06/2014,161.93,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,23/06/2014,102.77,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,23/06/2014,179.29,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,23/06/2014,128.40,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,23/06/2014,155.65,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,23/06/2014,313.59,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,23/06/2014,203.70,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,23/06/2014,164.51,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,23/06/2014,225.55,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,23/06/2014,238.27,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,23/06/2014,140.86,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,23/06/2014,196.98,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,23/06/2014,160.18,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,23/06/2014,212.16,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,23/06/2014,140.49,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,23/06/2014,154.70,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,23/06/2014,101.72,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,23/06/2014,189.57,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,23/06/2014,152.85,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,23/06/2014,228.16,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,23/06/2014,129.53,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,23/06/2014,150.08,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,23/06/2014,124.67,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,23/06/2014,159.54,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,23/06/2014,120.21,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,23/06/2014,240.01,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,23/06/2014,153.52,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,23/06/2014,407.53,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,23/06/2014,105.67,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,23/06/2014,283.92,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,23/06/2014,129.49,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,23/06/2014,124.88,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,23/06/2014,118.08,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,23/06/2014,129.69,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,23/06/2014,196.91,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,23/06/2014,132.45,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,23/06/2014,209.03,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,23/06/2014,124.19,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,23/06/2014,240.78,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,23/06/2014,107.10,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,23/06/2014,139.86,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,23/06/2014,102.36,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,23/06/2014,215.93,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,23/06/2014,114.13,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,23/06/2014,240.63,,,,,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,Brambles Foods Ltd,23/06/2014,141.24,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Brambles Foods Ltd,12/06/2014,225.45,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Brambles Foods Ltd,12/06/2014,186.63,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Brambles Foods Ltd,12/06/2014,183.35,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Brambles Foods Ltd,12/06/2014,287.66,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,RADNOR HILLS MINERAL WATER COMPANY LTD,12/06/2014,104.79,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Willoughby (731) Ltd T/A The Fabulous Bakin' Boys,12/06/2014,125.16,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,BIKOLD,12/06/2014,140.57,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,BIKOLD,12/06/2014,107.58,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,BIKOLD,12/06/2014,121.12,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Tasties of Chester Ltd,04/06/2014,687.20,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Tasties of Chester Ltd,04/06/2014,472.01,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Brambles Foods Ltd,02/06/2014,186.63,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Brambles Foods Ltd,02/06/2014,252.50,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Tasties of Chester Ltd,02/06/2014,613.10,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Tasties of Chester Ltd,02/06/2014,280.60,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,SMART FOOD,02/06/2014,353.18,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,SMART FOOD,02/06/2014,381.40,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Tasties of Chester Ltd,02/06/2014,473.00,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,BIKOLD,27/06/2014,149.81,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,BIKOLD,27/06/2014,208.03,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,BIKOLD,27/06/2014,123.61,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,BIKOLD,27/06/2014,165.20,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,BIKOLD,27/06/2014,248.33,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,BIKOLD,27/06/2014,292.67,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,BIKOLD,23/06/2014,237.56,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,BIKOLD,23/06/2014,138.63,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,BIKOLD,23/06/2014,192.08,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,BIKOLD,23/06/2014,196.45,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,BIKOLD,23/06/2014,283.08,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,BIKOLD,23/06/2014,165.91,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,BIKOLD,23/06/2014,326.71,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Brambles Foods Ltd,11/06/2014,225.45,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,RADNOR HILLS MINERAL WATER COMPANY LTD,11/06/2014,180.60,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Willoughby (731) Ltd T/A The Fabulous Bakin' Boys,11/06/2014,186.56,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,SMART FOOD,11/06/2014,384.20,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Brambles Foods Ltd,11/06/2014,167.08,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,BIKOLD,12/06/2014,185.52,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,BIKOLD,12/06/2014,149.74,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,BIKOLD,12/06/2014,136.58,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,BIKOLD,12/06/2014,183.80,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,BIKOLD,12/06/2014,179.89,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,BIKOLD,12/06/2014,246.44,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,BIKOLD,12/06/2014,216.66,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,BIKOLD,12/06/2014,342.24,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,RADNOR HILLS MINERAL WATER COMPANY LTD,02/06/2014,242.92,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Brambles Foods Ltd,02/06/2014,297.46,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Brambles Foods Ltd,02/06/2014,153.80,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Tasties of Chester Ltd,02/06/2014,639.20,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Tasties of Chester Ltd,02/06/2014,508.90,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Tasties of Chester Ltd,02/06/2014,473.00,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Tasties of Chester Ltd,02/06/2014,327.00,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Tasties of Chester Ltd,02/06/2014,473.00,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Brambles Foods Ltd,02/06/2014,153.80,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,RADNOR HILLS MINERAL WATER COMPANY LTD,02/06/2014,180.60,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Tasties of Chester Ltd,02/06/2014,532.60,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Tasties of Chester Ltd,02/06/2014,473.60,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,SAFY IMPEX T/A SPICE TIME,05/06/2014,-109.00,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Tasties of Chester Ltd,04/06/2014,813.40,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,SAFY IMPEX T/A SPICE TIME,04/06/2014,109.00,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,RADNOR HILLS MINERAL WATER COMPANY LTD,04/06/2014,179.64,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,BIKOLD,06/06/2014,114.90,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,BIKOLD,06/06/2014,168.43,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,BIKOLD,06/06/2014,213.28,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,BIKOLD,06/06/2014,417.01,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,BIKOLD,06/06/2014,123.25,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,BIKOLD,06/06/2014,275.84,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,BIKOLD,06/06/2014,195.03,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,BIKOLD,06/06/2014,101.83,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,BIKOLD,06/06/2014,170.23,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,BIKOLD,06/06/2014,156.96,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,BIKOLD,06/06/2014,200.66,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,BIKOLD,06/06/2014,127.63,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,BIKOLD,06/06/2014,335.36,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,BIKOLD,06/06/2014,319.85,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,BIKOLD,06/06/2014,151.37,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Willoughby (731) Ltd T/A The Fabulous Bakin' Boys,02/06/2014,114.73,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,TROPICAL ICE,02/06/2014,300.00,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Tasties of Chester Ltd,25/06/2014,101.70,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Tasties of Chester Ltd,25/06/2014,506.98,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,RADNOR HILLS MINERAL WATER COMPANY LTD,25/06/2014,179.64,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,RADNOR HILLS MINERAL WATER COMPANY LTD,25/06/2014,103.36,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Tasties of Chester Ltd,25/06/2014,495.00,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Brambles Foods Ltd,25/06/2014,293.44,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,RADNOR HILLS MINERAL WATER COMPANY LTD,25/06/2014,104.79,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,RADNOR HILLS MINERAL WATER COMPANY LTD,25/06/2014,180.60,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Protective Clothing,SIMON JERSEY LIMITED,25/06/2014,133.87,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,BIKOLD,27/06/2014,207.32,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,BIKOLD,27/06/2014,133.14,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,BIKOLD,27/06/2014,111.03,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,BIKOLD,27/06/2014,223.74,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Tasties of Chester Ltd,09/06/2014,236.80,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Brambles Foods Ltd,10/06/2014,123.47,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Brambles Foods Ltd,10/06/2014,121.52,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Brambles Foods Ltd,10/06/2014,237.50,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,BIKOLD,23/06/2014,184.47,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Tasties of Chester Ltd,23/06/2014,473.00,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Tasties of Chester Ltd,23/06/2014,564.75,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Brambles Foods Ltd,23/06/2014,186.63,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,RADNOR HILLS MINERAL WATER COMPANY LTD,23/06/2014,104.79,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Willoughby (731) Ltd T/A The Fabulous Bakin' Boys,23/06/2014,136.76,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Brambles Foods Ltd,23/06/2014,182.86,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,BDO LLP Administrators for The Fabulous Bakin' Boys Ltd,23/06/2014,166.88,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Tasties of Chester Ltd,23/06/2014,506.98,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Tasties of Chester Ltd,23/06/2014,615.00,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Tasties of Chester Ltd,23/06/2014,101.70,,,,,,,
Customer Services,Catering,CASS,Supplies & Services,Provisions,Brambles Foods Ltd,23/06/2014,573.00,,,,,,,
Customer Services,Catering,CASX,Supplies & Services,Provisions,BIKOLD,12/06/2014,192.46,,,,,,,
Customer Services,Catering,CASX,Supplies & Services,Provisions,BIKOLD,12/06/2014,172.90,,,,,,,
Customer Services,Catering,CASX,Supplies & Services,Provisions,BIKOLD,12/06/2014,123.52,,,,,,,
Customer Services,Catering,CASX,Supplies & Services,Provisions,BIKOLD,06/06/2014,147.24,,,,,,,
Customer Services,Catering,CASX,Supplies & Services,Provisions,BIKOLD,06/06/2014,133.85,,,,,,,
Customer Services,Catering,CASX,Supplies & Services,Provisions,BIKOLD,06/06/2014,156.70,,,,,,,
Customer Services,Catering,CASX,Supplies & Services,Provisions,BIKOLD,06/06/2014,115.24,,,,,,,
Customer Services,Catering,CASX,Supplies & Services,Provisions,BIKOLD,06/06/2014,338.96,,,,,,,
Customer Services,Catering,CASX,Supplies & Services,Provisions,SMART FOOD,02/06/2014,229.20,,,,,,,
Customer Services,Catering,CASX,Supplies & Services,Provisions,BIKOLD,27/06/2014,160.49,,,,,,,
Customer Services,Catering,CASX,Supplies & Services,Provisions,BIKOLD,27/06/2014,130.25,,,,,,,
Customer Services,Catering,CASX,Supplies & Services,Provisions,BIKOLD,27/06/2014,127.14,,,,,,,
Customer Services,Catering,CASX,Supplies & Services,Provisions,BIKOLD,23/06/2014,174.33,,,,,,,
Customer Services,Catering,CASX,Supplies & Services,Provisions,BIKOLD,23/06/2014,128.82,,,,,,,
Customer Services,Catering,CASX,Supplies & Services,Provisions,BIKOLD,23/06/2014,148.00,,,,,,,
Customer Services,Catering,CFAN,Supplies & Services,Telephones,VIRGIN MEDIA BUSINESS,20/06/2014,126.00,,,,,,,
Customer Services,Catering,CHOL,Supplies & Services,Provisions,John Sheppard Catering Butchers,03/06/2014,124.29,,,,,,,
Customer Services,Catering,CHOL,Supplies & Services,Equipment - Purchase,BIKOLD,06/06/2014,113.41,,,,,,,
Customer Services,Catering,COMM,Supplies & Services,Provisions,BIKOLD,12/06/2014,118.31,,,,,,,
Customer Services,Catering,COMM,Supplies & Services,Provisions,BIKOLD,12/06/2014,231.70,,,,,,,
Customer Services,Catering,COMM,Supplies & Services,Provisions,BIKOLD,12/06/2014,120.02,,,,,,,
Customer Services,Catering,COMM,Supplies & Services,Provisions,BIKOLD,12/06/2014,166.64,,,,,,,
Customer Services,Catering,COMM,Supplies & Services,Provisions,Tasties of Chester Ltd,02/06/2014,275.19,,,,,,,
Customer Services,Catering,COMM,Supplies & Services,Other Materials,Vegware,02/06/2014,110.16,,,,,,,
Customer Services,Catering,COMM,Supplies & Services,Provisions,Brambles Foods Ltd,02/06/2014,527.86,,,,,,,
Customer Services,Catering,COMM,Supplies & Services,Provisions,Vegware,02/06/2014,118.04,,,,,,,
Customer Services,Catering,COMM,Supplies & Services,Provisions,Aroma Tea & Coffee Merchants,02/06/2014,157.30,,,,,,,
Customer Services,Catering,COMM,Supplies & Services,Provisions,John Sheppard Catering Butchers,05/06/2014,108.23,,,,,,,
Customer Services,Catering,COMM,Supplies & Services,Provisions,John Sheppard Catering Butchers,05/06/2014,100.39,,,,,,,
Customer Services,Catering,COMM,Supplies & Services,Provisions,John Sheppard Catering Butchers,05/06/2014,100.80,,,,,,,
Customer Services,Catering,COMM,Supplies & Services,Provisions,Brambles Foods Ltd,30/06/2014,268.78,,,,,,,
Customer Services,Catering,COMM,Supplies & Services,Provisions,Brambles Foods Ltd,30/06/2014,109.05,,,,,,,
Customer Services,Catering,COMM,Supplies & Services,Provisions,BIKOLD,06/06/2014,258.00,,,,,,,
Customer Services,Catering,COMM,Supplies & Services,Provisions,BIKOLD,06/06/2014,129.12,,,,,,,
Customer Services,Catering,COMM,Supplies & Services,Provisions,BIKOLD,06/06/2014,102.93,,,,,,,
Customer Services,Catering,COMM,Supplies & Services,Provisions,BIKOLD,06/06/2014,128.02,,,,,,,
Customer Services,Catering,COMM,Supplies & Services,Provisions,BIKOLD,06/06/2014,110.47,,,,,,,
Customer Services,Catering,COMM,Supplies & Services,Provisions,BIKOLD,06/06/2014,239.37,,,,,,,
Customer Services,Catering,COMM,Supplies & Services,Provisions,BIKOLD,27/06/2014,129.39,,,,,,,
Customer Services,Catering,COMM,Supplies & Services,Provisions,BIKOLD,27/06/2014,172.38,,,,,,,
Customer Services,Catering,COMM,Supplies & Services,Provisions,BIKOLD,23/06/2014,163.91,,,,,,,
Customer Services,Catering,COMM,Supplies & Services,Provisions,BIKOLD,23/06/2014,155.26,,,,,,,
Customer Services,Catering,COMM,Supplies & Services,Provisions,BIKOLD,23/06/2014,160.78,,,,,,,
Customer Services,Catering,COMM,Supplies & Services,Provisions,BIKOLD,23/06/2014,242.03,,,,,,,
Customer Services,Catering,COMM,Supplies & Services,Equipment - Hire,ShropshireVendingServices,23/06/2014,101.18,,,,,,,
Customer Services,Catering,COMM,Supplies & Services,Provisions,Gills Puddings Ltd,23/06/2014,306.40,,,,,,,
Customer Services,Catering,LEIC,Supplies & Services,Provisions,BIKOLD,27/06/2014,179.99,,,,,,,
Customer Services,Catering,LEIC,Supplies & Services,Provisions,BIKOLD,27/06/2014,230.48,,,,,,,
Customer Services,Customer & Registrars Services,LMAA,Supplies & Services,Security Services,BUSINESS WATCH GUARDING LIMITED,30/06/2014,"2,018.00",,,,,,,
Customer Services,Customer & Registrars Services,LSAA,Supplies & Services,Equipment - Hire,OASIS INTERIOR LANDSCAPING,23/06/2014,332.85,,,,,,,
Customer Services,Customer & Registrars Services,LSAB,Premises-Related Expenditure,Grounds Maintenance - Cemeteries,P & W MAINTENANCE CONTRACTING LTD,23/06/2014,"3,579.62",,,,,,,
Customer Services,Customer & Registrars Services,LSAB,Premises-Related Expenditure,Grounds Maintenance - Cemeteries,P & W MAINTENANCE CONTRACTING LTD,23/06/2014,"3,331.55",,,,,,,
Customer Services,Facilities Management and Cleaning Services,ASAB,Supplies & Services,Other Expenses,THE MIDLAND NEWS ASSOCIATION LTD,05/06/2014,104.02,,,,,,,
Customer Services,Facilities Management and Cleaning Services,ASAB,Supplies & Services,Security Services,BUSINESS WATCH GUARDING LIMITED,16/06/2014,910.32,,,,,,,
Customer Services,Facilities Management and Cleaning Services,ASAB,Supplies & Services,Security Services,BUSINESS WATCH GUARDING LIMITED,16/06/2014,234.00,,,,,,,
Customer Services,Facilities Management and Cleaning Services,CFAA,Premises-Related Expenditure,Grounds Maintenance,TELFORD & WREKIN SERVICES LTD,10/06/2014,"6,069.16",,,,,,,
Customer Services,Facilities Management and Cleaning Services,CFAA,Premises-Related Expenditure,Grounds Maintenance,NOBRIDGE LTD,30/06/2014,"3,351.81",,,,,,,
Customer Services,Facilities Management and Cleaning Services,CFAD,Supplies & Services,Security Services,BUSINESS WATCH GUARDING LIMITED,18/06/2014,"17,873.18",,,,,,,
Customer Services,Facilities Management and Cleaning Services,CFAM,Premises-Related Expenditure,R&M -Building Other,WINDOW & DOOR CONTRACT SERVICES,30/06/2014,193.10,,,,,,,
Customer Services,Facilities Management and Cleaning Services,CFAV,Capital Financing Costs,Unitary Charge,PYRAMID SCHOOLS (HADLEY) LTD,19/06/2014,"818,310.29",,,,,,,
Customer Services,Facilities Management and Cleaning Services,CFAV,Supplies & Services,Telephones,INTERSERVE (FACILITIES MANAGEMENT) LTD,18/06/2014,139.85,,,,,,,
Customer Services,Facilities Management and Cleaning Services,CFAV,Supplies & Services,Telephones,INTERSERVE (FACILITIES MANAGEMENT) LTD,18/06/2014,142.84,,,,,,,
Customer Services,Facilities Management and Cleaning Services,CFAV,Supplies & Services,Telephones,VIRGIN MEDIA BUSINESS,20/06/2014,185.96,,,,,,,
Customer Services,Facilities Management and Cleaning Services,CFAV,Supplies & Services,Telephones,VIRGIN MEDIA BUSINESS,20/06/2014,152.00,,,,,,,
Customer Services,Facilities Management and Cleaning Services,CFAY,Premises-Related Expenditure,R&M -Buildings DLO Charge,SDT ELECTRICAL LTD,11/06/2014,"-1,046.00",,,,,,,
Customer Services,Facilities Management and Cleaning Services,CFAY,Premises-Related Expenditure,R&M -Buildings DLO Charge,SDT ELECTRICAL LTD,11/06/2014,400.00,,,,,,,
