Service Delivery Area(T),Service Delivery Team(T),CostC,ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount,,,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,Bikold,07/11/2013,122.09,,,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,Bikold,07/11/2013,119.26,,,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,Bikold,07/11/2013,203.37,,,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,Bikold,07/11/2013,100.2,,,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,Bikold,07/11/2013,107.18,,,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,Bikold,07/11/2013,206.51,,,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,Bikold,07/11/2013,189.45,,,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,Bikold,07/11/2013,151.03,,,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,Bikold,07/11/2013,279.71,,,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,Bikold,07/11/2013,172.94,,,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,Bikold,07/11/2013,142.47,,,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,Bikold,07/11/2013,210.19,,,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,Bikold,07/11/2013,158.69,,,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,Bikold,07/11/2013,189.99,,,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,Bikold,07/11/2013,273.13,,,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,Bikold,07/11/2013,175.32,,,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,Bikold,07/11/2013,231.25,,,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,Bikold,07/11/2013,117.94,,,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,Bikold,07/11/2013,370.47,,,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,Bikold,07/11/2013,223.26,,,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,Bikold,07/11/2013,157.88,,,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,Bikold,07/11/2013,189.83,,,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,Bikold,07/11/2013,239.96,,,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,Bikold,07/11/2013,218.08,,,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,Bikold,07/11/2013,176.48,,,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,Bikold,07/11/2013,245.89,,,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,Bikold,07/11/2013,160.18,,,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,Bikold,07/11/2013,102.56,,,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,Bikold,07/11/2013,131.63,,,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,Bikold,07/11/2013,181.21,,,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,Bikold,07/11/2013,174.03,,,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,Bikold,07/11/2013,127.61,,,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,Bikold,07/11/2013,127.18,,,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,Bikold,07/11/2013,153.74,,,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,Bikold,07/11/2013,247.03,,,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,Bikold,07/11/2013,103,,,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,Bikold,07/11/2013,177.84,,,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,Bikold,07/11/2013,299.64,,,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,Bikold,07/11/2013,246.3,,,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,Bikold,07/11/2013,165.27,,,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,Bikold,07/11/2013,175.41,,,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,Bikold,07/11/2013,104.02,,,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,Bikold,07/11/2013,387.9,,,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,Bikold,07/11/2013,167.29,,,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,Bikold,07/11/2013,156.22,,,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,Bikold,07/11/2013,181.6,,,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,Bikold,07/11/2013,109.98,,,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,Bikold,07/11/2013,219.98,,,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,Bikold,07/11/2013,262.24,,,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,Bikold,07/11/2013,114.78,,,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,Bikold,07/11/2013,111.37,,,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,Bikold,07/11/2013,152.61,,,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,Bikold,07/11/2013,191.77,,,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,Bikold,07/11/2013,138.55,,,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,Bikold,07/11/2013,111.44,,,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,Bikold,07/11/2013,178.67,,,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,Bikold,07/11/2013,112.61,,,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,Bikold,07/11/2013,102.88,,,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,Bikold,07/11/2013,103.19,,,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,FRESHVIEW FOODS LTD,12/11/2013,110.28,,,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,FRESHVIEW FOODS LTD,12/11/2013,149.68,,,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,FRESHVIEW FOODS LTD,12/11/2013,129.39,,,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,FRESHVIEW FOODS LTD,12/11/2013,203.12,,,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,13/11/2013,117.71,,,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,13/11/2013,102.5,,,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,13/11/2013,147.27,,,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,13/11/2013,124.07,,,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,13/11/2013,101.52,,,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,13/11/2013,148.11,,,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,13/11/2013,115.54,,,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,13/11/2013,107.05,,,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,13/11/2013,117.03,,,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,13/11/2013,-623.78,,,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,13/11/2013,655.48,,,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,13/11/2013,160.26,,,,
Customer & People Services,Catering & Home Care,CASP,Transport-Related Expenditure,Hire Charges from MO,FCC RECYCLING (UK) LIMITED,27/11/2013,156,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Crockery/Hardware/Light Equip,ERIC NEVILLE CATERING SUPPLIES LTD,11/11/2013,134.97,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Crockery/Hardware/Light Equip,ERIC NEVILLE CATERING SUPPLIES LTD,12/11/2013,189.02,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Holidays & Outings,TRI STAR PACKAGING SUPPLIES LIMITED,27/11/2013,150.82,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Crockery/Hardware/Light Equip,ERIC NEVILLE CATERING SUPPLIES LTD,27/11/2013,125.46,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Bikold,21/11/2013,249.93,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Bikold,21/11/2013,167.9,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Bikold,21/11/2013,195.77,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Bikold,21/11/2013,243.14,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Bikold,21/11/2013,136.2,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Bikold,21/11/2013,230.25,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Bikold,21/11/2013,332.38,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Bikold,21/11/2013,107.07,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Bikold,21/11/2013,135.06,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Bikold,21/11/2013,155.34,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Bikold,21/11/2013,162.83,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Bikold,21/11/2013,201.14,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Bikold,21/11/2013,134.52,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Bikold,21/11/2013,209.78,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Bikold,21/11/2013,129.19,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Bikold,21/11/2013,108.04,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Bikold,21/11/2013,272.45,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,THE FABULOUS BAKIN BOYS,26/11/2013,127.34,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,THE FABULOUS BAKIN BOYS,11/11/2013,144.7,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,SMART FOOD,11/11/2013,457.2,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Brambles Foods Ltd,11/11/2013,450.25,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Brambles Foods Ltd,11/11/2013,465.05,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Brambles Foods Ltd,11/11/2013,569.85,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,RADNOR HILLS MINERAL WATER COMPANY LTD,11/11/2013,209.58,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Bikold,14/11/2013,102.11,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Bikold,14/11/2013,118.5,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Bikold,14/11/2013,173.7,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Bikold,14/11/2013,251.99,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Bikold,14/11/2013,101.46,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Bikold,14/11/2013,125.09,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Bikold,14/11/2013,120.3,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Bikold,14/11/2013,213.96,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Bikold,14/11/2013,167.91,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Bikold,14/11/2013,191.03,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Bikold,14/11/2013,196.77,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Bikold,14/11/2013,266.36,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Bikold,14/11/2013,207.2,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Bikold,14/11/2013,427.26,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Bikold,14/11/2013,126,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Bikold,14/11/2013,132.93,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Bikold,14/11/2013,115,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Bikold,14/11/2013,222.2,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Bikold,14/11/2013,109.8,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Bikold,14/11/2013,160.74,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,SMART FOOD,12/11/2013,381.6,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,THE FABULOUS BAKIN BOYS,27/11/2013,166.88,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Brambles Foods Ltd,27/11/2013,269.4,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,RADNOR HILLS MINERAL WATER COMPANY LTD,27/11/2013,243.17,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,SMART FOOD,27/11/2013,457.2,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,THE FABULOUS BAKIN BOYS,27/11/2013,104.86,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Brambles Foods Ltd,27/11/2013,536.85,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,SMART FOOD,12/11/2013,343.8,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,SMART FOOD,12/11/2013,229.2,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,SMART FOOD,12/11/2013,268.2,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Bikold,29/11/2013,156.56,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Bikold,29/11/2013,140.36,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Bikold,29/11/2013,124.07,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Bikold,29/11/2013,179.67,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Bikold,29/11/2013,179.76,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Bikold,29/11/2013,183.84,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Bikold,29/11/2013,192.44,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Bikold,29/11/2013,263,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Bikold,29/11/2013,296.96,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Bikold,29/11/2013,151.92,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Bikold,29/11/2013,471.39,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Bikold,29/11/2013,110.02,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Bikold,29/11/2013,114.63,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Bikold,29/11/2013,411.99,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Bikold,29/11/2013,263.3,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Bikold,29/11/2013,174.66,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Bikold,29/11/2013,108.6,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Bikold,29/11/2013,109.5,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Bikold,29/11/2013,107.43,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Bikold,29/11/2013,102.14,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Bikold,29/11/2013,154.37,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Brambles Foods Ltd,06/11/2013,118.34,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,THE FABULOUS BAKIN BOYS,07/11/2013,104.3,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,RADNOR HILLS MINERAL WATER COMPANY LTD,07/11/2013,149.7,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Brambles Foods Ltd,07/11/2013,109.48,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,SMART FOOD,07/11/2013,343.2,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Bikold,07/11/2013,181.22,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Bikold,07/11/2013,262.99,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Bikold,07/11/2013,276.65,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Bikold,07/11/2013,247.2,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Bikold,07/11/2013,606.07,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Bikold,07/11/2013,411.43,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Bikold,07/11/2013,308.04,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Brambles Foods Ltd,12/11/2013,668.8,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Bikold,07/11/2013,382.64,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Bikold,07/11/2013,228.32,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Bikold,07/11/2013,202.23,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Bikold,07/11/2013,102.77,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Bikold,07/11/2013,202.62,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Bikold,07/11/2013,235.88,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Bikold,07/11/2013,149.41,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Bikold,07/11/2013,587.32,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Bikold,07/11/2013,121.37,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Bikold,07/11/2013,231.11,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Bikold,07/11/2013,401.68,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Bikold,07/11/2013,175.06,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,RADNOR HILLS MINERAL WATER COMPANY LTD,13/11/2013,387.85,,,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Brambles Foods Ltd,13/11/2013,1180.4,,,,
Customer & People Services,Catering & Home Care,CASX,Supplies & Services,Provisions,Bikold,21/11/2013,285.4,,,,
Customer & People Services,Catering & Home Care,CASX,Supplies & Services,Provisions,Bikold,21/11/2013,112.73,,,,
Customer & People Services,Catering & Home Care,CASX,Supplies & Services,Provisions,Bikold,21/11/2013,136.46,,,,
Customer & People Services,Catering & Home Care,CASX,Supplies & Services,Provisions,Bikold,14/11/2013,135.25,,,,
Customer & People Services,Catering & Home Care,CASX,Supplies & Services,Provisions,Bikold,14/11/2013,269.33,,,,
Customer & People Services,Catering & Home Care,CASX,Supplies & Services,Provisions,Bikold,14/11/2013,218,,,,
Customer & People Services,Catering & Home Care,CASX,Supplies & Services,Provisions,Bikold,29/11/2013,220.29,,,,
Customer & People Services,Catering & Home Care,CASX,Supplies & Services,Provisions,Bikold,29/11/2013,136.63,,,,
Customer & People Services,Catering & Home Care,CASX,Supplies & Services,Provisions,Bikold,29/11/2013,115.73,,,,
Customer & People Services,Catering & Home Care,CASX,Supplies & Services,Provisions,Bikold,29/11/2013,120.94,,,,
Customer & People Services,Catering & Home Care,CASX,Supplies & Services,Provisions,Bikold,29/11/2013,105,,,,
Customer & People Services,Catering & Home Care,CASX,Supplies & Services,Provisions,Bikold,07/11/2013,201.46,,,,
Customer & People Services,Catering & Home Care,CASX,Supplies & Services,Provisions,Bikold,07/11/2013,143.39,,,,
Customer & People Services,Catering & Home Care,CASX,Supplies & Services,Provisions,Bikold,07/11/2013,185.3,,,,
Customer & People Services,Catering & Home Care,COMM,Supplies & Services,Provisions,Brambles Foods Ltd,26/11/2013,306.88,,,,
Customer & People Services,Catering & Home Care,COMM,Supplies & Services,Provisions,Bikold,21/11/2013,186.3,,,,
Customer & People Services,Catering & Home Care,COMM,Supplies & Services,Provisions,Bikold,21/11/2013,351.76,,,,
Customer & People Services,Catering & Home Care,COMM,Supplies & Services,Provisions,Bikold,21/11/2013,235.48,,,,
Customer & People Services,Catering & Home Care,COMM,Supplies & Services,Equipment - Purchase,Planit Furniture Limited,26/11/2013,-1623.2,,,,
Customer & People Services,Catering & Home Care,COMM,Supplies & Services,Provisions,Bikold,14/11/2013,127.28,,,,
Customer & People Services,Catering & Home Care,COMM,Supplies & Services,Provisions,Bikold,14/11/2013,155.25,,,,
Customer & People Services,Catering & Home Care,COMM,Supplies & Services,Provisions,Bikold,14/11/2013,221.14,,,,
Customer & People Services,Catering & Home Care,COMM,Supplies & Services,Provisions,Brambles Foods Ltd,05/11/2013,617.04,,,,
Customer & People Services,Catering & Home Care,COMM,Supplies & Services,Provisions,Brambles Foods Ltd,05/11/2013,588.47,,,,
Customer & People Services,Catering & Home Care,COMM,Supplies & Services,Provisions,Brambles Foods Ltd,05/11/2013,412.13,,,,
Customer & People Services,Catering & Home Care,COMM,Supplies & Services,Provisions,Brambles Foods Ltd,05/11/2013,392.79,,,,
Customer & People Services,Catering & Home Care,COMM,Supplies & Services,Provisions,G N BADLEY & SONS,05/11/2013,117.87,,,,
Customer & People Services,Catering & Home Care,COMM,Supplies & Services,Provisions,Bikold,29/11/2013,232.88,,,,
Customer & People Services,Catering & Home Care,COMM,Supplies & Services,Provisions,Bikold,29/11/2013,103.86,,,,
Customer & People Services,Catering & Home Care,COMM,Supplies & Services,Provisions,Bikold,29/11/2013,298.14,,,,
Customer & People Services,Catering & Home Care,COMM,Supplies & Services,Provisions,Bikold,29/11/2013,102.46,,,,
Customer & People Services,Catering & Home Care,COMM,Supplies & Services,Provisions,Bikold,29/11/2013,290.8,,,,
Customer & People Services,Catering & Home Care,COMM,Supplies & Services,Provisions,Bikold,29/11/2013,178.34,,,,
Customer & People Services,Catering & Home Care,COMM,Supplies & Services,Provisions,Gills Puddings Ltd,06/11/2013,580.5,,,,
Customer & People Services,Catering & Home Care,COMM,Supplies & Services,Equipment - Purchase,ERIC NEVILLE CATERING SUPPLIES LTD,06/11/2013,789.59,,,,
Customer & People Services,Catering & Home Care,COMM,Supplies & Services,Crockery/Hardware/Light Equip,ERIC NEVILLE CATERING SUPPLIES LTD,06/11/2013,153.44,,,,
Customer & People Services,Catering & Home Care,COMM,Supplies & Services,Provisions,Brambles Foods Ltd,06/11/2013,440.25,,,,
Customer & People Services,Catering & Home Care,COMM,Supplies & Services,Provisions,Brambles Foods Ltd,06/11/2013,308.86,,,,
Customer & People Services,Catering & Home Care,COMM,Supplies & Services,Provisions,Brambles Foods Ltd,07/11/2013,420.39,,,,
Customer & People Services,Catering & Home Care,COMM,Supplies & Services,Provisions,Brambles Foods Ltd,07/11/2013,262.79,,,,
Customer & People Services,Catering & Home Care,COMM,Supplies & Services,Provisions,Bikold,07/11/2013,234.86,,,,
Customer & People Services,Catering & Home Care,COMM,Supplies & Services,Provisions,Bikold,07/11/2013,299.09,,,,
Customer & People Services,Catering & Home Care,COMM,Supplies & Services,Provisions,Bikold,07/11/2013,124.9,,,,
Customer & People Services,Catering & Home Care,COMM,Supplies & Services,Provisions,Bikold,07/11/2013,116.66,,,,
Customer & People Services,Catering & Home Care,COMM,Supplies & Services,Provisions,Bikold,07/11/2013,175.14,,,,
Customer & People Services,Catering & Home Care,COMM,Supplies & Services,Provisions,Bikold,07/11/2013,139.51,,,,
Customer & People Services,Catering & Home Care,COMM,Supplies & Services,Provisions,Bikold,07/11/2013,196.67,,,,
Customer & People Services,Catering & Home Care,COMM,Supplies & Services,Provisions,Bikold,07/11/2013,135.77,,,,
Customer & People Services,Customer & Registrars Services,LMAA,Supplies & Services,Comp Software (Purch / Hire),ESRI (UK) CAMBRIDGE LTD,21/11/2013,1116.01,,,,
Customer & People Services,Customer & Registrars Services,LMAA,Supplies & Services,Translation Services,VISS LTD,25/11/2013,125,,,,
Customer & People Services,Customer & Registrars Services,LMAA,Supplies & Services,Stationery,Q-MATIC UK LTD,25/11/2013,315,,,,
Customer & People Services,Customer & Registrars Services,LMAA,Supplies & Services,Translation Services,VISS LTD,25/11/2013,125,,,,
Customer & People Services,Customer & Registrars Services,LMAA,Supplies & Services,Translation Services,VISS LTD,08/11/2013,125,,,,
Customer & People Services,Customer & Registrars Services,LMAA,Supplies & Services,Translation Services,VISS LTD,25/11/2013,125,,,,
Customer & People Services,Customer & Registrars Services,LMAA,Supplies & Services,Security Services,BUSINESS WATCH GUARDING LIMITED,01/11/2013,3888.78,,,,
Customer & People Services,Customer & Registrars Services,LMAA,Supplies & Services,Translation Services,VISS LTD,08/11/2013,125,,,,
Customer & People Services,Customer & Registrars Services,LMAA,Supplies & Services,Translation Services,VISS LTD,08/11/2013,125,,,,
Customer & People Services,Customer & Registrars Services,LMAA,Supplies & Services,Translation Services,VISS LTD,08/11/2013,125,,,,
Customer & People Services,Customer & Registrars Services,LMAA,Supplies & Services,Translation Services,VISS LTD,08/11/2013,125,,,,
Customer & People Services,Customer & Registrars Services,LMAA,Supplies & Services,Stationery,SPECIALIST COMPUTERS CENTRES PLC,11/11/2013,114.7,,,,
Customer & People Services,Customer & Registrars Services,LMAD,Supplies & Services,Conference Expenses,NCOG,14/11/2013,149,,,,
