Service Delivery Area(T),Service Delivery Team(T),CostC,ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,10/01/2014,173.75,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,10/01/2014,138.58,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,10/01/2014,181.33,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,10/01/2014,314.01,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,10/01/2014,226.53,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,10/01/2014,152.15,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,10/01/2014,161.01,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,10/01/2014,145.74,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,10/01/2014,178.78,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,10/01/2014,174.94,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,10/01/2014,156.97,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,10/01/2014,183.97,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,10/01/2014,116.07,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,10/01/2014,175.17,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,10/01/2014,199.36,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,10/01/2014,140.72,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,10/01/2014,103.47,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,10/01/2014,113.28,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,10/01/2014,148.29,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,10/01/2014,306.66,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,15/01/2014,122.93,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,15/01/2014,144.56,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,15/01/2014,124,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,15/01/2014,203.14,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,15/01/2014,127.25,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,15/01/2014,119.28,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,15/01/2014,103.85,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,15/01/2014,106.3,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,15/01/2014,269.03,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,15/01/2014,100.02,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,15/01/2014,109.32,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,15/01/2014,163.97,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,15/01/2014,118.84,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,15/01/2014,182.28,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,FRESHVIEW FOODS LTD,16/01/2014,116.26,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,FRESHVIEW FOODS LTD,16/01/2014,125.19,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,FRESHVIEW FOODS LTD,16/01/2014,144.74,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,FRESHVIEW FOODS LTD,16/01/2014,113.35,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,FRESHVIEW FOODS LTD,16/01/2014,125.3,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,16/01/2014,264.7,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,16/01/2014,165.62,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,23/01/2014,100.97,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,23/01/2014,229.97,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,23/01/2014,121.84,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,23/01/2014,125.99,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,23/01/2014,145.07,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,23/01/2014,216.36,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,23/01/2014,156.08,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,23/01/2014,154.42,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,23/01/2014,210.81,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,23/01/2014,120.42,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,23/01/2014,158.45,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,23/01/2014,157.05,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,23/01/2014,129.5,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,23/01/2014,106.25,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,23/01/2014,138.65,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,23/01/2014,174.87,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,23/01/2014,120.42,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,23/01/2014,122.59,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,23/01/2014,162.41,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,23/01/2014,178.21,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,23/01/2014,177.6,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,23/01/2014,234.36,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,23/01/2014,298.63,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,23/01/2014,118.72,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,23/01/2014,244.98,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,23/01/2014,110.21,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,23/01/2014,163.41,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,23/01/2014,183.77,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,23/01/2014,109.7,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,23/01/2014,116.69,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,23/01/2014,152.89,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,23/01/2014,175.03,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,23/01/2014,101.34,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,23/01/2014,236,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,23/01/2014,114.56,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,23/01/2014,143.7,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,23/01/2014,102.01,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,23/01/2014,116.22,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,23/01/2014,208.27,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,23/01/2014,101,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,23/01/2014,302.24,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,23/01/2014,119.57,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,23/01/2014,107.14,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,23/01/2014,105.16,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,23/01/2014,106.8,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,23/01/2014,364.92,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,23/01/2014,101.46,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,23/01/2014,134.27,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,23/01/2014,172.67,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,23/01/2014,119.87,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,23/01/2014,186.36,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,23/01/2014,211.84,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,23/01/2014,137.04,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,23/01/2014,102.56,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,23/01/2014,244.37,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,23/01/2014,114.65,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,23/01/2014,117.82,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,23/01/2014,122.26,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,30/01/2014,148.45,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,30/01/2014,139.8,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,30/01/2014,171.13,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,30/01/2014,170.29,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,30/01/2014,233.73,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,30/01/2014,177.73,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,30/01/2014,374.33,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,30/01/2014,118.75,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,30/01/2014,119.28,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,30/01/2014,155.41,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,30/01/2014,107.44,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,30/01/2014,165.47,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,30/01/2014,263.57,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,30/01/2014,215.65,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,30/01/2014,154.04,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,30/01/2014,190.66,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,30/01/2014,104.12,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,30/01/2014,164.09,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,30/01/2014,110.08,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,30/01/2014,141.04,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,30/01/2014,128.33,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,30/01/2014,131.41,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,30/01/2014,122.51,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,30/01/2014,143.17,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,30/01/2014,157.37,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,30/01/2014,306.79,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,30/01/2014,258.56,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,30/01/2014,123.37,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,30/01/2014,103.63,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,30/01/2014,110.8,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,30/01/2014,163.17,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,30/01/2014,185.1,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,30/01/2014,104.48,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,30/01/2014,114.54,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,30/01/2014,233.73,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,30/01/2014,156.12,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,30/01/2014,296.04,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,30/01/2014,109.92,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,30/01/2014,166.1,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,30/01/2014,307.22,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,30/01/2014,113.56,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,30/01/2014,115.79,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,30/01/2014,165.14,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,30/01/2014,127.42,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,30/01/2014,137.29,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,30/01/2014,199.96,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,30/01/2014,124.32,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,30/01/2014,101.69,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,30/01/2014,292.29,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,30/01/2014,179.76,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,30/01/2014,143.92,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,30/01/2014,206.29,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,30/01/2014,195.35,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,30/01/2014,186.59,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,30/01/2014,158.63,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,30/01/2014,117.49,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,30/01/2014,304.57,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,30/01/2014,232.97,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,30/01/2014,136.05,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,30/01/2014,130.04,,,,,,
Customer Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,30/01/2014,210.33,,,,,,
Customer Services,Catering & Home Care,CASS,Supplies & Services,Crockery/Hardware/Light Equip,ERIC NEVILLE CATERING SUPPLIES LTD,03/01/2014,239.81,,,,,,
Customer Services,Catering & Home Care,CASS,Supplies & Services,Protective Clothing,IMAGE@WORK LTD,16/01/2014,330.6,,,,,,
Customer Services,Catering & Home Care,CASS,Supplies & Services,Provisions,SMART FOOD,08/01/2014,381.4,,,,,,
Customer Services,Catering & Home Care,CASS,Supplies & Services,Provisions,SAFY IMPEX T/A SPICE TIME,08/01/2014,121.25,,,,,,
Customer Services,Catering & Home Care,CASS,Supplies & Services,Provisions,JOHAL DAIRIES,03/01/2014,154.68,,,,,,
Customer Services,Catering & Home Care,CASS,Supplies & Services,Provisions,JOHAL DAIRIES,03/01/2014,154.59,,,,,,
Customer Services,Catering & Home Care,CASS,Supplies & Services,Provisions,John Sheppard Catering Butchers,06/01/2014,133.48,,,,,,
Customer Services,Catering & Home Care,CASS,Supplies & Services,Provisions,John Sheppard Catering Butchers,06/01/2014,143.48,,,,,,
Customer Services,Catering & Home Care,CASS,Supplies & Services,Provisions,John Sheppard Catering Butchers,06/01/2014,110,,,,,,
Customer Services,Catering & Home Care,CASS,Supplies & Services,Provisions,John Sheppard Catering Butchers,06/01/2014,117.65,,,,,,
Customer Services,Catering & Home Care,CASS,Supplies & Services,Provisions,John Sheppard Catering Butchers,06/01/2014,169.63,,,,,,
Customer Services,Catering & Home Care,CASS,Supplies & Services,Provisions,John Sheppard Catering Butchers,06/01/2014,119.54,,,,,,
Customer Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Brambles Foods Ltd,09/01/2014,853.7,,,,,,
Customer Services,Catering & Home Care,CASS,Supplies & Services,Provisions,RADNOR HILLS MINERAL WATER COMPANY LTD,09/01/2014,119.76,,,,,,
Customer Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Brambles Foods Ltd,09/01/2014,613,,,,,,
Customer Services,Catering & Home Care,CASS,Supplies & Services,Provisions,RADNOR HILLS MINERAL WATER COMPANY LTD,09/01/2014,179.64,,,,,,
Customer Services,Catering & Home Care,CASS,Supplies & Services,Provisions,RADNOR HILLS MINERAL WATER COMPANY LTD,08/01/2014,119.76,,,,,,
Customer Services,Catering & Home Care,CASS,Supplies & Services,Provisions,JOHAL DAIRIES,08/01/2014,145.31,,,,,,
Customer Services,Catering & Home Care,CASS,Supplies & Services,Provisions,THE FABULOUS BAKIN BOYS,08/01/2014,136.57,,,,,,
Customer Services,Catering & Home Care,CASS,Supplies & Services,Provisions,JOHAL DAIRIES,08/01/2014,156.35,,,,,,
Customer Services,Catering & Home Care,CASS,Supplies & Services,Provisions,THE FABULOUS BAKIN BOYS,08/01/2014,100.44,,,,,,
Customer Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Brambles Foods Ltd,08/01/2014,125.42,,,,,,
Customer Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Brambles Foods Ltd,08/01/2014,472.44,,,,,,
Customer Services,Catering & Home Care,CASS,Supplies & Services,Provisions,RADNOR HILLS MINERAL WATER COMPANY LTD,08/01/2014,179.64,,,,,,
Customer Services,Catering & Home Care,CASS,Supplies & Services,Provisions,JOHAL DAIRIES,08/01/2014,156.35,,,,,,
Customer Services,Catering & Home Care,CASS,Supplies & Services,Provisions,JOHAL DAIRIES,08/01/2014,156.35,,,,,,
Customer Services,Catering & Home Care,CASS,Supplies & Services,Provisions,JOHAL DAIRIES,08/01/2014,118.54,,,,,,
Customer Services,Catering & Home Care,CASS,Supplies & Services,Provisions,SMART FOOD,08/01/2014,420.2,,,,,,
Customer Services,Catering & Home Care,CASS,Supplies & Services,Provisions,THE FABULOUS BAKIN BOYS,08/01/2014,135.59,,,,,,
Customer Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Brambles Foods Ltd,08/01/2014,138.9,,,,,,
Customer Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Brambles Foods Ltd,08/01/2014,269.4,,,,,,
Customer Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Brambles Foods Ltd,08/01/2014,297.96,,,,,,
Customer Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Brambles Foods Ltd,08/01/2014,273.08,,,,,,
Customer Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Brambles Foods Ltd,08/01/2014,115.1,,,,,,
Customer Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Brambles Foods Ltd,08/01/2014,154.39,,,,,,
Customer Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Brambles Foods Ltd,08/01/2014,306.8,,,,,,
Customer Services,Catering & Home Care,CASS,Supplies & Services,Provisions,RADNOR HILLS MINERAL WATER COMPANY LTD,08/01/2014,149.7,,,,,,
Customer Services,Catering & Home Care,CASS,Supplies & Services,Provisions,SMART FOOD,08/01/2014,384.2,,,,,,
Customer Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Brambles Foods Ltd,08/01/2014,277.1,,,,,,
Customer Services,Catering & Home Care,CASS,Supplies & Services,Provisions,Brambles Foods Ltd,08/01/2014,130.9,,,,,,
Customer Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,16/01/2014,159.8,,,,,,
Customer Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,16/01/2014,125.75,,,,,,
Customer Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,16/01/2014,300.16,,,,,,
Customer Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,16/01/2014,130.6,,,,,,
Customer Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,16/01/2014,263.47,,,,,,
Customer Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,16/01/2014,139.9,,,,,,
Customer Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,16/01/2014,167.97,,,,,,
Customer Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,16/01/2014,403.51,,,,,,
Customer Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,16/01/2014,141.64,,,,,,
Customer Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,16/01/2014,124.89,,,,,,
Customer Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,16/01/2014,150.56,,,,,,
Customer Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,16/01/2014,269.04,,,,,,
Customer Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,16/01/2014,177.86,,,,,,
Customer Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,16/01/2014,634.57,,,,,,
Customer Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,16/01/2014,207.06,,,,,,
Customer Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,10/01/2014,101.84,,,,,,
Customer Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,10/01/2014,132.25,,,,,,
Customer Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,10/01/2014,215.77,,,,,,
Customer Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,10/01/2014,422.64,,,,,,
Customer Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,10/01/2014,173.62,,,,,,
Customer Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,10/01/2014,106.91,,,,,,
Customer Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,10/01/2014,240.46,,,,,,
Customer Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,10/01/2014,469.82,,,,,,
Customer Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,10/01/2014,166.17,,,,,,
Customer Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,10/01/2014,173.76,,,,,,
Customer Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,10/01/2014,198.66,,,,,,
Customer Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,10/01/2014,164.24,,,,,,
Customer Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,10/01/2014,504.01,,,,,,
Customer Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,10/01/2014,142.61,,,,,,
Customer Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,10/01/2014,349.47,,,,,,
Customer Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,10/01/2014,166.74,,,,,,
Customer Services,Catering & Home Care,CASS,Supplies & Services,Provisions,ROWLANDS & COMPANY,15/01/2014,-306.9,,,,,,
Customer Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,16/01/2014,107.44,,,,,,
Customer Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,23/01/2014,196.96,,,,,,
Customer Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,23/01/2014,164.73,,,,,,
Customer Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,23/01/2014,319.76,,,,,,
Customer Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,23/01/2014,449.87,,,,,,
Customer Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,23/01/2014,205.32,,,,,,
Customer Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,23/01/2014,289.99,,,,,,
Customer Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,23/01/2014,228.36,,,,,,
