Service Delivery Area(T),Service Delivery Team(T),CostC,ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount,,,
Children's Safeguarding & Specialist Services,Children Specialist Services,HDAF,Third Party Payments,Private Contractors,ACTION FOR CHILDREN LIMITED,23/10/2014,131638.5,,,
Children's Safeguarding & Specialist Services,Children Specialist Services,HDAG,Supplies & Services,Aids & Appliances,G & S SMIRTHWAITE LTD,15/10/2014,839,,,
Children's Safeguarding & Specialist Services,Children Specialist Services,HDAG,Supplies & Services,Aids & Appliances,PATTERSON MEDICAL LTD,22/10/2014,128.99,,,
Children's Safeguarding & Specialist Services,Children Specialist Services,HDAJ,Supplies & Services,Other Services,Direct Health Homecare Limited,02/10/2014,492,,,
Children's Safeguarding & Specialist Services,Children Specialist Services,HDAJ,Supplies & Services,Other Services,NESTOR PRIMECARE SERVICES LTD T/A ALLIED HEALTHCARE,14/10/2014,157.28,,,
Children's Safeguarding & Specialist Services,Children Specialist Services,HDAJ,Supplies & Services,Section 17 Childrens Act,SEVERN TRENT WATER LTD,02/10/2014,421.46,,,
Children's Safeguarding & Specialist Services,Children Specialist Services,HDAJ,Third Party Payments,Agency Services,Direct Health Homecare Limited,03/10/2014,177.36,,,
Children's Safeguarding & Specialist Services,Children Specialist Services,HDAJ,Third Party Payments,Agency Services,Direct Health Homecare Limited,03/10/2014,413.84,,,
Children's Safeguarding & Specialist Services,Children Specialist Services,HDAJ,Third Party Payments,Agency Services,Direct Health Homecare Limited,02/10/2014,246,,,
Children's Safeguarding & Specialist Services,Children Specialist Services,HDAJ,Third Party Payments,Agency Services,Direct Health Homecare Limited,02/10/2014,273.18,,,
Children's Safeguarding & Specialist Services,Children Specialist Services,HDAJ,Third Party Payments,Agency Services,Direct Health Homecare Limited,02/10/2014,143.73,,,
Children's Safeguarding & Specialist Services,Children Specialist Services,HDAJ,Third Party Payments,Agency Services,Direct Health Homecare Limited,02/10/2014,143.73,,,
Children's Safeguarding & Specialist Services,Children Specialist Services,HDAJ,Third Party Payments,Agency Services,Direct Health Homecare Limited,02/10/2014,411.66,,,
Children's Safeguarding & Specialist Services,Children Specialist Services,HDAJ,Third Party Payments,Agency Services,Direct Health Homecare Limited,02/10/2014,321.09,,,
Children's Safeguarding & Specialist Services,Children Specialist Services,HDAJ,Third Party Payments,Agency Services,Direct Health Homecare Limited,02/10/2014,246,,,
Children's Safeguarding & Specialist Services,Children Specialist Services,HDAJ,Third Party Payments,Agency Services,Direct Health Homecare Limited,06/10/2014,255.52,,,
Children's Safeguarding & Specialist Services,Children Specialist Services,HDAJ,Third Party Payments,Agency Services,Direct Health Homecare Limited,06/10/2014,255.52,,,
Children's Safeguarding & Specialist Services,Children Specialist Services,HDAJ,Third Party Payments,Agency Services,NESTOR PRIMECARE SERVICES LTD T/A ALLIED HEALTHCARE,02/10/2014,216.92,,,
Children's Safeguarding & Specialist Services,Children Specialist Services,HDAJ,Third Party Payments,Agency Services,NESTOR PRIMECARE SERVICES LTD T/A ALLIED HEALTHCARE,02/10/2014,701.92,,,
Children's Safeguarding & Specialist Services,Children Specialist Services,HDAJ,Third Party Payments,Agency Services,NESTOR PRIMECARE SERVICES LTD T/A ALLIED HEALTHCARE,02/10/2014,1285.59,,,
Children's Safeguarding & Specialist Services,Children Specialist Services,HDAJ,Third Party Payments,Agency Services,NESTOR PRIMECARE SERVICES LTD T/A ALLIED HEALTHCARE,02/10/2014,944.34,,,
Children's Safeguarding & Specialist Services,Children Specialist Services,HDAJ,Third Party Payments,Agency Services,NESTOR PRIMECARE SERVICES LTD T/A ALLIED HEALTHCARE,02/10/2014,327.62,,,
Children's Safeguarding & Specialist Services,Children Specialist Services,HDAJ,Third Party Payments,Agency Services,NESTOR PRIMECARE SERVICES LTD T/A ALLIED HEALTHCARE,02/10/2014,238.41,,,
Children's Safeguarding & Specialist Services,Children Specialist Services,HDAJ,Third Party Payments,Agency Services,NESTOR PRIMECARE SERVICES LTD T/A ALLIED HEALTHCARE,02/10/2014,617.73,,,
Children's Safeguarding & Specialist Services,Children Specialist Services,HDAJ,Third Party Payments,Agency Services,NESTOR PRIMECARE SERVICES LTD T/A ALLIED HEALTHCARE,02/10/2014,196.84,,,
Children's Safeguarding & Specialist Services,Children Specialist Services,HDAJ,Third Party Payments,Agency Services,NESTOR PRIMECARE SERVICES LTD T/A ALLIED HEALTHCARE,02/10/2014,466.24,,,
Children's Safeguarding & Specialist Services,Children Specialist Services,HDAJ,Third Party Payments,Agency Services,NESTOR PRIMECARE SERVICES LTD T/A ALLIED HEALTHCARE,02/10/2014,206.95,,,
Children's Safeguarding & Specialist Services,Children Specialist Services,HDAJ,Third Party Payments,Agency Services,NESTOR PRIMECARE SERVICES LTD T/A ALLIED HEALTHCARE,02/10/2014,237.87,,,
Children's Safeguarding & Specialist Services,Children Specialist Services,HDAJ,Third Party Payments,Agency Services,NESTOR PRIMECARE SERVICES LTD T/A ALLIED HEALTHCARE,10/10/2014,1058.75,,,
Children's Safeguarding & Specialist Services,Children Specialist Services,HDAJ,Third Party Payments,Agency Services,NESTOR PRIMECARE SERVICES LTD T/A ALLIED HEALTHCARE,14/10/2014,312.86,,,
Children's Safeguarding & Specialist Services,Children Specialist Services,HDAJ,Third Party Payments,Agency Services,NESTOR PRIMECARE SERVICES LTD T/A ALLIED HEALTHCARE,14/10/2014,411.83,,,
Children's Safeguarding & Specialist Services,Children Specialist Services,HDAJ,Third Party Payments,Agency Services,WE ARE THE CARE COMPANY LTD,09/10/2014,727.4,,,
Children's Safeguarding & Specialist Services,Children Specialist Services,HDAJ,Third Party Payments,Agency Services,WE ARE THE CARE COMPANY LTD,07/10/2014,322,,,
Children's Safeguarding & Specialist Services,Children Specialist Services,HDAJ,Third Party Payments,Agency Services,WE ARE THE CARE COMPANY LTD,10/10/2014,265.5,,,
Children's Safeguarding & Specialist Services,Children Specialist Services,HDAJ,Third Party Payments,Agency Services,WE ARE THE CARE COMPANY LTD,10/10/2014,154,,,
Children's Safeguarding & Specialist Services,Children Specialist Services,HDAJ,Third Party Payments,Agency Services,WE ARE THE CARE COMPANY LTD,10/10/2014,149.5,,,
Children's Safeguarding & Specialist Services,Children Specialist Services,HDAJ,Third Party Payments,Agency Services,WE ARE THE CARE COMPANY LTD,10/10/2014,108,,,
Children's Safeguarding & Specialist Services,Children Specialist Services,HDAJ,Third Party Payments,Agency Services,WE ARE THE CARE COMPANY LTD,10/10/2014,174,,,
Children's Safeguarding & Specialist Services,Children Specialist Services,HDAJ,Third Party Payments,Agency Services,WE ARE THE CARE COMPANY LTD,07/10/2014,226.5,,,
Children's Safeguarding & Specialist Services,Children Specialist Services,HDAJ,Third Party Payments,Agency Services,WE ARE THE CARE COMPANY LTD,07/10/2014,299.75,,,
Children's Safeguarding & Specialist Services,Children Specialist Services,HDAK,Third Party Payments,Agency Services,NEW OPTIONS (3) LTD,20/10/2014,4469.29,,,
Children's Safeguarding & Specialist Services,Children Specialist Services,HDAK,Third Party Payments,Agency Services,NEW OPTIONS (3) LTD,20/10/2014,5796,,,
Children's Safeguarding & Specialist Services,Children Specialist Services,HDAK,Third Party Payments,Agency Services,NEW OPTIONS (3) LTD,20/10/2014,700,,,
Children's Safeguarding & Specialist Services,Children Specialist Services,HDAK,Third Party Payments,Agency Services,NEW OPTIONS (3) LTD,20/10/2014,3360,,,
Children's Safeguarding & Specialist Services,Children Specialist Services,HDAK,Third Party Payments,Agency Services,NEW OPTIONS (3) LTD,20/10/2014,7056,,,
Children's Safeguarding & Specialist Services,Children Specialist Services,HDAK,Transport-Related Expenditure,Travelling Expenses General,CENTRAL TAXIS LTD SHREWSBURY,13/10/2014,146,,,
Children's Safeguarding & Specialist Services,Children Specialist Services,JSAA,Third Party Payments,Childminders,Redacted Personal Information,02/10/2014,333.50,,,
Children's Safeguarding & Specialist Services,Children Specialist Services,JSAA,Transport-Related Expenditure,Travelling Expenses General,CENTRAL TAXIS LTD SHREWSBURY,02/10/2014,194.50,,,
Children's Safeguarding & Specialist Services,Children Specialist Services,KNAA,Supplies & Services,Other Tuition Fees,DUDLEY METROPOLITAN BOROUGH COUNCIL,10/10/2014,960.00,,,
Children's Safeguarding & Specialist Services,Children Specialist Services,KNAA,Third Party Payments,Agency Services,Witherslack Hall School,22/10/2014,"22,884.00",,,
Children's Safeguarding & Specialist Services,Children Specialist Services,KNAA,Third Party Payments,Residential Expenditure,Longdon Hall School Ltd-Acorn Care & Education,10/10/2014,"12,750.66",,,
Children's Safeguarding & Specialist Services,Children Specialist Services,KNAA,Third Party Payments,Residential Expenditure,NEW OPTIONS (3) LTD,10/10/2014,"69,907.49",,,
Children's Safeguarding & Specialist Services,Children Specialist Services,KNAA,Third Party Payments,Residential Expenditure,YOUNG OPTIONS COLLEGE LTD,02/10/2014,"26,697.14",,,
Children's Safeguarding & Specialist Services,Children Specialist Services,KNAA,Third Party Payments,Residential Expenditure,YOUNG OPTIONS COLLEGE LTD,15/10/2014,"26,419.05",,,
Children's Safeguarding & Specialist Services,Children Specialist Services,KNAJ,Supplies & Services,Aids & Appliances,Optelec Limited,10/10/2014,-125.46,,,
Children's Safeguarding & Specialist Services,Children Specialist Services,KNAJ,Supplies & Services,Hospitality,MEETING POINT TRUST LTD,14/10/2014,175.00,,,
Children's Safeguarding & Specialist Services,Children Specialist Services,KNAJ,Supplies & Services,Other Services,PEARSON EDUCATIONAL (71060627),30/10/2014,303.00,,,
Children's Safeguarding & Specialist Services,Children Specialist Services,KNAJ,Supplies & Services,Out of School Activities,MAWLEY OAK GARAGES,01/10/2014,225.00,,,
Children's Safeguarding & Specialist Services,Children Specialist Services,KNAJ,Supplies & Services,Translation Services,VISS LTD,20/10/2014,155.00,,,
Children's Safeguarding & Specialist Services,Children Specialist Services,KNAN,Supplies & Services,Other Services,TELFORD & WREKIN CVS,20/10/2014,"3,000.00",,,
Co-Operative Council,Community Engagement & Voluntary Sector,MCAB,Premises-Related Expenditure,Hire Of Rooms,MEETING POINT TRUST LTD,13/10/2014,189.70,,,
Co-Operative Council,Community Engagement & Voluntary Sector,MCAB,Premises-Related Expenditure,Hire Of Rooms,THE SALVATION ARMY,09/10/2014,112.50,,,
Co-Operative Council,Corporate Communications,MMAB,Supplies & Services,Mobile Phones,ORANGE PCS LTD,30/10/2014,129.00,,,
Co-Operative Council,Corporate Communications,MMAD,Employees,Recruitment Advertising,CARTREF COMMUNICATIONS,27/10/2014,299.70,,,
Co-Operative Council,Corporate Communications,MMAD,Employees,Recruitment Advertising,TES GLOBAL LTD (06090251),10/10/2014,787.50,,,
Co-Operative Council,Corporate Communications,MMAD,Employees,Recruitment Advertising,TES GLOBAL LTD (06090251),10/10/2014,787.50,,,
Co-Operative Council,Policy & Strategy,MPAA,Supplies & Services,Other Expenses,BEVAN BRITTAN,23/10/2014,"14,757.00",,,
Co-Operative Council,Policy & Strategy,MPAA,Supplies & Services,Other Services,GROUND INVESTIGATION & PILING LTD,14/10/2014,"5,027.50",,,
Customer Services,ALD Services,HLAP,Premises-Related Expenditure,Hire Of Rooms,CARE QUALITY COMMISSION,29/10/2014,5280,,,
Customer Services,ALD Services,HLBB,Supplies & Services,Chemicals/Cleaning Products,CARESHOP,31/10/2014,191.91,,,
Customer Services,ALD Services,HLBC,Premises-Related Expenditure,Clean Mats & Toilet Requisites,CARESHOP,30/10/2014,188.16,,,
Customer Services,ALD Services,HLBC,Premises-Related Expenditure,Hire Of Rooms,1ST PRIORSLEE & ST GEORGES SCOUT GROUP,30/10/2014,120.00,,,
Customer Services,ALD Services,HLBC,Supplies & Services,Photocopying,WEST MERCIA SUPPLIES Catalogue Supplies (None Utility),08/10/2014,153.39,,,
Customer Services,ALD Services,HLBC,Supplies & Services,Provisions,BIKOLD,05/10/2014,114.6,,,
Customer Services,ALD Services,HLBC,Supplies & Services,Provisions,BIKOLD,14/10/2014,100.92,,,
Customer Services,ALD Services,HLBC,Supplies & Services,Provisions,BIKOLD,08/10/2014,238.43,,,
Customer Services,ALD Services,HLBC,Supplies & Services,Provisions,BIKOLD,08/10/2014,189.09,,,
Customer Services,ALD Services,HLCE,Premises-Related Expenditure,General Rents,WREKIN HOUSING TRUST (CARE SUPPORT PYMTS ONLY),29/10/2014,2018.58,,,
Customer Services,ALD Services,HLDB,Supplies & Services,Equipment - Purchase,JACKDAW DINSTOCK,08/10/2014,238.1,,,
Customer Services,ALD Services,HLDB,Supplies & Services,Equipment - Purchase,MANSAW MACHINE TOOLS LTD,06/10/2014,580,,,
Customer Services,ALD Services,HLDB,Supplies & Services,Items For Resale,TELFORD TIMBER SUPPLIES,09/10/2014,104,,,
Customer Services,ALD Services,HLDB,Supplies & Services,Items For Resale,TELFORD TIMBER SUPPLIES,09/10/2014,133,,,
Customer Services,ALD Services,HLEB,Employees,Agency Supply Costs,AMG NURSING & CARE SERVICES,15/10/2014,579.32,,,
Customer Services,ALD Services,HLEB,Supplies & Services,Equipment - Purchase,THE CONSORTIUM FOR PURCHASING & DISTRIBUTION LTD T/A WEST MERCIA SUPPLIES,15/10/2014,490.98,,,
Customer Services,ALD Services,HLEB,Supplies & Services,Equipment - Repair,BERWICK CARE EQUIPMENT LTD,15/10/2014,600,,,
Customer Services,ALD Services,HLEB,Supplies & Services,Television Licenses,TV LICENSING,15/10/2014,145.5,,,
Customer Services,ALD Services,HLEC,Capital Financing Costs,Leased Equipment,LEX AUTOLEASE LTD,03/10/2014,500.14,,,
Customer Services,Benefits,LRSF,Transfer Payments,Crisis Assistance Awards,AE PROPERTY MAINTENANCE,15/10/2014,260,,,
Customer Services,Benefits,LRSF,Transfer Payments,Crisis Assistance Awards,DAWLEY BARGAIN CENTRE,24/10/2014,210.00,,,
Customer Services,Benefits,LRSF,Transfer Payments,Crisis Assistance Awards,DAWLEY BARGAIN CENTRE,07/10/2014,145.00,,,
Customer Services,Benefits,LRSF,Transfer Payments,Crisis Assistance Awards,DAWLEY BARGAIN CENTRE,24/10/2014,510.00,,,
Customer Services,Benefits,LRSF,Transfer Payments,Crisis Assistance Awards,DAWLEY BARGAIN CENTRE,24/10/2014,115.00,,,
Customer Services,Benefits,LRSF,Transfer Payments,Crisis Assistance Awards,DAWLEY BARGAIN CENTRE,15/10/2014,115,,,
Customer Services,Benefits,LRSF,Transfer Payments,Crisis Assistance Awards,DAWLEY BARGAIN CENTRE,15/10/2014,440,,,
Customer Services,Benefits,LRSF,Transfer Payments,Crisis Assistance Awards,DAWLEY BARGAIN CENTRE,07/10/2014,400,,,
Customer Services,Benefits,LRSF,Transfer Payments,Crisis Assistance Awards,PayPoint Network Limited,01/10/2014,169.00,,,
Customer Services,Benefits,LRSF,Transfer Payments,Crisis Assistance Awards,PayPoint Network Limited,15/10/2014,375.00,,,
Customer Services,Benefits,LRSF,Transfer Payments,Crisis Assistance Awards,PayPoint Network Limited,07/10/2014,165.00,,,
Customer Services,Benefits,LRSF,Transfer Payments,Crisis Assistance Awards,PayPoint Network Limited,22/10/2014,217.00,,,
Customer Services,Benefits,LRSF,Transfer Payments,Crisis Assistance Awards,PayPoint Network Limited,29/10/2014,221.00,,,
Customer Services,Benefits,LRTC,Employees,Staff Training,West Midlands Employers,08/10/2014,250.00,,,
Customer Services,Benefits,LRTC,Supplies & Services,Comp Hardware (Purch / Hire),SPECIALIST COMPUTERS CENTRES PLC,21/10/2014,161.84,,,
Customer Services,Benefits,LRTC,Supplies & Services,Computer Software (Maint),Unicard Ltd,20/10/2014,893.43,,,
Customer Services,Benefits,LRTC,Supplies & Services,Computer Software (Maint),Unicard Ltd,20/10/2014,496.58,,,
Customer Services,Benefits,LRTC,Supplies & Services,Other Services,ESP Systex,08/10/2014,417.96,,,
Customer Services,Catering,CAFT,Supplies & Services,Provisions,Brambles Foods Ltd,03/10/2014,110.10,,,
Customer Services,Catering,CAFT,Supplies & Services,Provisions,Brambles Foods Ltd,03/10/2014,120.40,,,
Customer Services,Catering,CAFT,Supplies & Services,Provisions,Brambles Foods Ltd,14/10/2014,172,,,
Customer Services,Catering,CAFT,Supplies & Services,Provisions,SLUSH PUPPIE LTD,13/10/2014,424.68,,,
Customer Services,Catering,CAHH,Supplies & Services,Equipment - Purchase,ERIC NEVILLE CATERING SUPPLIES LTD,13/10/2014,"-1,737.97",,,
Customer Services,Catering,CAHH,Supplies & Services,Provisions,BIKOLD,03/10/2014,108.75,,,
Customer Services,Catering,CAHH,Supplies & Services,Provisions,BIKOLD,31/10/2014,130.67,,,
Customer Services,Catering,CAHH,Supplies & Services,Provisions,BIKOLD,31/10/2014,153.25,,,
Customer Services,Catering,CAHH,Supplies & Services,Provisions,BIKOLD,24/10/2014,151.52,,,
Customer Services,Catering,CAHH,Supplies & Services,Provisions,BIKOLD,24/10/2014,149.17,,,
Customer Services,Catering,CAMA,Employees,Professional Subs,APSE (MANCHESTER),15/10/2014,3547,,,
Customer Services,Catering,CAMA,Employees,Training Expenses,CIEH,03/10/2014,539.45,,,
Customer Services,Catering,CAMA,Supplies & Services,Computer Hardware (Maint),NATIONWIDE RETAIL SYSTEMS LTD,13/10/2014,31860,,,
Customer Services,Catering,CAMA,Supplies & Services,Computer Hardware (Maint),NATIONWIDE RETAIL SYSTEMS LTD,13/10/2014,31560,,,
Customer Services,Catering,CAOC,Supplies & Services,Provisions,BIKOLD,17/10/2014,107.32,,,
Customer Services,Catering,CAOC,Supplies & Services,Provisions,BIKOLD,24/10/2014,105.66,,,
Customer Services,Catering,CASM,Supplies & Services,EEC Whole Milk,JOHAL DAIRIES,27/10/2014,1781.49,,,
Customer Services,Catering,CASM,Supplies & Services,EEC Whole Milk,JOHAL DAIRIES,27/10/2014,739.37,,,
Customer Services,Catering,CASM,Supplies & Services,EEC Whole Milk,JOHAL DAIRIES,01/10/2014,1799.84,,,
Customer Services,Catering,CASM,Supplies & Services,EEC Whole Milk,JOHAL DAIRIES,01/10/2014,742.8,,,
Customer Services,Catering,CASM,Supplies & Services,EEC Whole Milk,JOHAL DAIRIES,01/10/2014,744.21,,,
Customer Services,Catering,CASM,Supplies & Services,EEC Whole Milk,JOHAL DAIRIES,01/10/2014,1796.22,,,
Customer Services,Catering,CASM,Supplies & Services,EEC Whole Milk,JOHAL DAIRIES,15/10/2014,735.32,,,
Customer Services,Catering,CASM,Supplies & Services,EEC Whole Milk,JOHAL DAIRIES,15/10/2014,1799.84,,,
Customer Services,Catering,CASM,Supplies & Services,EEC Whole Milk,JOHAL DAIRIES,15/10/2014,744.21,,,
Customer Services,Catering,CASM,Supplies & Services,EEC Whole Milk,JOHAL DAIRIES,23/10/2014,1803.73,,,
Customer Services,Catering,CASM,Supplies & Services,EEC Whole Milk,JOHAL DAIRIES,23/10/2014,745.29,,,
Customer Services,Catering,CASN,Supplies & Services,Provisions,BIKOLD,17/10/2014,126.85,,,
Customer Services,Catering,CASN,Supplies & Services,Provisions,BIKOLD,17/10/2014,152.37,,,
Customer Services,Catering,CASN,Supplies & Services,Provisions,BIKOLD,17/10/2014,163.62,,,
Customer Services,Catering,CASN,Supplies & Services,Provisions,BIKOLD,03/10/2014,351.6,,,
Customer Services,Catering,CASN,Supplies & Services,Provisions,BIKOLD,31/10/2014,167.2,,,
Customer Services,Catering,CASN,Supplies & Services,Provisions,BIKOLD,31/10/2014,196.15,,,
Customer Services,Catering,CASN,Supplies & Services,Provisions,BIKOLD,31/10/2014,157.36,,,
Customer Services,Catering,CASN,Supplies & Services,Provisions,BIKOLD,10/10/2014,182.73,,,
Customer Services,Catering,CASN,Supplies & Services,Provisions,BIKOLD,24/10/2014,253.1,,,
Customer Services,Catering,CASN,Supplies & Services,Provisions,BIKOLD,24/10/2014,187.04,,,
Customer Services,Catering,CASN,Supplies & Services,Provisions,BIKOLD,24/10/2014,264.92,,,
Customer Services,Catering,CASN,Supplies & Services,Provisions,BIKOLD,24/10/2014,118.24,,,
Customer Services,Catering,CASN,Supplies & Services,Provisions,John Sheppard Catering Butchers,21/10/2014,168.82,,,
Customer Services,Catering,CASN,Supplies & Services,Provisions,John Sheppard Catering Butchers,24/10/2014,230.79,,,
Customer Services,Catering,CASN,Supplies & Services,Provisions,John Sheppard Catering Butchers,14/10/2014,109.13,,,
Customer Services,Catering,CASN,Supplies & Services,Provisions,John Sheppard Catering Butchers,14/10/2014,140.83,,,
Customer Services,Catering,CASN,Supplies & Services,Provisions,John Sheppard Catering Butchers,24/10/2014,216,,,
Customer Services,Catering,CASN,Supplies & Services,Provisions,ROWLANDS & COMPANY,21/10/2014,116.05,,,
Customer Services,Catering,CASN,Supplies & Services,Provisions,ROWLANDS & COMPANY,30/10/2014,113.57,,,
Customer Services,Catering,CASP,Premises-Related Expenditure,Clean Mats & Toilet Requisites,ERIC NEVILLE CATERING SUPPLIES LTD,27/10/2014,108.14,,,
Customer Services,Catering,CASP,Premises-Related Expenditure,Clean Mats & Toilet Requisites,ERIC NEVILLE CATERING SUPPLIES LTD,27/10/2014,260.14,,,
Customer Services,Catering,CASP,Premises-Related Expenditure,Clean Mats & Toilet Requisites,ERIC NEVILLE CATERING SUPPLIES LTD,27/10/2014,246.29,,,
Customer Services,Catering,CASP,Premises-Related Expenditure,Clean Mats & Toilet Requisites,ERIC NEVILLE CATERING SUPPLIES LTD,27/10/2014,246.29,,,
Customer Services,Catering,CASP,Premises-Related Expenditure,Clean Mats & Toilet Requisites,ERIC NEVILLE CATERING SUPPLIES LTD,27/10/2014,246.29,,,
Customer Services,Catering,CASP,Premises-Related Expenditure,Clean Mats & Toilet Requisites,ERIC NEVILLE CATERING SUPPLIES LTD,27/10/2014,218.59,,,
Customer Services,Catering,CASP,Premises-Related Expenditure,Clean Mats & Toilet Requisites,ERIC NEVILLE CATERING SUPPLIES LTD,27/10/2014,246.29,,,
Customer Services,Catering,CASP,Premises-Related Expenditure,Clean Mats & Toilet Requisites,ERIC NEVILLE CATERING SUPPLIES LTD,27/10/2014,246.29,,,
Customer Services,Catering,CASP,Premises-Related Expenditure,Clean Mats & Toilet Requisites,ERIC NEVILLE CATERING SUPPLIES LTD,27/10/2014,140,,,
Customer Services,Catering,CASP,Premises-Related Expenditure,Clean Mats & Toilet Requisites,ERIC NEVILLE CATERING SUPPLIES LTD,27/10/2014,218.59,,,
Customer Services,Catering,CASP,Supplies & Services,Crockery/Hardware/Light Equip,Charnwood Instrumentation Services Ltd,03/10/2014,101.94,,,
Customer Services,Catering,CASP,Supplies & Services,Crockery/Hardware/Light Equip,Charnwood Instrumentation Services Ltd,03/10/2014,101.94,,,
Customer Services,Catering,CASP,Supplies & Services,Crockery/Hardware/Light Equip,Charnwood Instrumentation Services Ltd,03/10/2014,492.19,,,
Customer Services,Catering,CASP,Supplies & Services,Crockery/Hardware/Light Equip,ERIC NEVILLE CATERING SUPPLIES LTD,06/10/2014,104.4,,,
Customer Services,Catering,CASP,Supplies & Services,Crockery/Hardware/Light Equip,ERIC NEVILLE CATERING SUPPLIES LTD,27/10/2014,174.12,,,
Customer Services,Catering,CASP,Supplies & Services,Crockery/Hardware/Light Equip,ERIC NEVILLE CATERING SUPPLIES LTD,27/10/2014,342.01,,,
Customer Services,Catering,CASP,Supplies & Services,Crockery/Hardware/Light Equip,ERIC NEVILLE CATERING SUPPLIES LTD,27/10/2014,196.82,,,
Customer Services,Catering,CASP,Supplies & Services,Crockery/Hardware/Light Equip,ERIC NEVILLE CATERING SUPPLIES LTD,27/10/2014,112.4,,,
Customer Services,Catering,CASP,Supplies & Services,Crockery/Hardware/Light Equip,ERIC NEVILLE CATERING SUPPLIES LTD,27/10/2014,237.6,,,
Customer Services,Catering,CASP,Supplies & Services,Crockery/Hardware/Light Equip,ERIC NEVILLE CATERING SUPPLIES LTD,27/10/2014,253.23,,,
Customer Services,Catering,CASP,Supplies & Services,Crockery/Hardware/Light Equip,ERIC NEVILLE CATERING SUPPLIES LTD,27/10/2014,198,,,
Customer Services,Catering,CASP,Supplies & Services,Crockery/Hardware/Light Equip,ERIC NEVILLE CATERING SUPPLIES LTD,27/10/2014,165,,,
Customer Services,Catering,CASP,Supplies & Services,Crockery/Hardware/Light Equip,ERIC NEVILLE CATERING SUPPLIES LTD,27/10/2014,190.92,,,
Customer Services,Catering,CASP,Supplies & Services,Crockery/Hardware/Light Equip,ERIC NEVILLE CATERING SUPPLIES LTD,27/10/2014,395,,,
Customer Services,Catering,CASP,Supplies & Services,Crockery/Hardware/Light Equip,ERIC NEVILLE CATERING SUPPLIES LTD,27/10/2014,258.5,,,
Customer Services,Catering,CASP,Supplies & Services,Crockery/Hardware/Light Equip,ERIC NEVILLE CATERING SUPPLIES LTD,27/10/2014,195,,,
Customer Services,Catering,CASP,Supplies & Services,Crockery/Hardware/Light Equip,ERIC NEVILLE CATERING SUPPLIES LTD,27/10/2014,274.45,,,
Customer Services,Catering,CASP,Supplies & Services,Crockery/Hardware/Light Equip,ERIC NEVILLE CATERING SUPPLIES LTD,27/10/2014,189.38,,,
Customer Services,Catering,CASP,Supplies & Services,Crockery/Hardware/Light Equip,ERIC NEVILLE CATERING SUPPLIES LTD,27/10/2014,179.7,,,
Customer Services,Catering,CASP,Supplies & Services,Crockery/Hardware/Light Equip,ERIC NEVILLE CATERING SUPPLIES LTD,27/10/2014,154.98,,,
Customer Services,Catering,CASP,Supplies & Services,Crockery/Hardware/Light Equip,ERIC NEVILLE CATERING SUPPLIES LTD,27/10/2014,563.43,,,
Customer Services,Catering,CASP,Supplies & Services,Crockery/Hardware/Light Equip,ERIC NEVILLE CATERING SUPPLIES LTD,27/10/2014,144.58,,,
Customer Services,Catering,CASP,Supplies & Services,Crockery/Hardware/Light Equip,ERIC NEVILLE CATERING SUPPLIES LTD,27/10/2014,110.73,,,
Customer Services,Catering,CASP,Supplies & Services,Crockery/Hardware/Light Equip,ERIC NEVILLE CATERING SUPPLIES LTD,27/10/2014,164.22,,,
Customer Services,Catering,CASP,Supplies & Services,Crockery/Hardware/Light Equip,ERIC NEVILLE CATERING SUPPLIES LTD,27/10/2014,134.1,,,
Customer Services,Catering,CASP,Supplies & Services,Crockery/Hardware/Light Equip,ERIC NEVILLE CATERING SUPPLIES LTD,27/10/2014,434.6,,,
Customer Services,Catering,CASP,Supplies & Services,Crockery/Hardware/Light Equip,ERIC NEVILLE CATERING SUPPLIES LTD,27/10/2014,211.14,,,
Customer Services,Catering,CASP,Supplies & Services,Crockery/Hardware/Light Equip,ERIC NEVILLE CATERING SUPPLIES LTD,27/10/2014,619.79,,,
Customer Services,Catering,CASP,Supplies & Services,Crockery/Hardware/Light Equip,ERIC NEVILLE CATERING SUPPLIES LTD,27/10/2014,381.92,,,
Customer Services,Catering,CASP,Supplies & Services,Crockery/Hardware/Light Equip,ERIC NEVILLE CATERING SUPPLIES LTD,27/10/2014,349,,,
Customer Services,Catering,CASP,Supplies & Services,Crockery/Hardware/Light Equip,ERIC NEVILLE CATERING SUPPLIES LTD,27/10/2014,381.92,,,
Customer Services,Catering,CASP,Supplies & Services,Equipment - Purchase,ERIC NEVILLE CATERING SUPPLIES LTD,27/10/2014,124.72,,,
Customer Services,Catering,CASP,Supplies & Services,Equipment - Repair,Harfield Components Ltd,03/10/2014,209,,,
Customer Services,Catering,CASP,Supplies & Services,Holidays & Outings,WEST MERCIA SUPPLIES Catalogue Supplies (None Utility),01/10/2014,101.02,,,
Customer Services,Catering,CASP,Supplies & Services,Other Services,ERIC NEVILLE CATERING SUPPLIES LTD,13/10/2014,1942.22,,,
Customer Services,Catering,CASP,Supplies & Services,Other Services,ERIC NEVILLE CATERING SUPPLIES LTD,13/10/2014,2066.82,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,17/10/2014,345.71,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,17/10/2014,329.62,,,
