Service Delivery Area(T),Service Delivery Team(T),CostC,ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,08/12/2014,314.00,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,08/12/2014,163.02,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,08/12/2014,124.40,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,08/12/2014,150.33,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,08/12/2014,243.71,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,08/12/2014,206.87,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,08/12/2014,106.30,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,08/12/2014,200.26,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,08/12/2014,150.96,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,08/12/2014,161.31,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,08/12/2014,253.21,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,08/12/2014,283.06,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,08/12/2014,189.54,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,08/12/2014,100.70,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,08/12/2014,186.08,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,08/12/2014,195.36,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,08/12/2014,177.02,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,08/12/2014,200.56,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,08/12/2014,213.61,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,08/12/2014,374.34,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,08/12/2014,165.79,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,08/12/2014,155.14,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,08/12/2014,153.77,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,08/12/2014,120.74,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,08/12/2014,158.60,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,08/12/2014,215.29,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,08/12/2014,103.82,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,08/12/2014,223.00,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,08/12/2014,114.37,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,08/12/2014,351.69,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,08/12/2014,143.98,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,08/12/2014,107.38,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,08/12/2014,138.84,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,08/12/2014,122.71,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,08/12/2014,154.34,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,08/12/2014,127.30,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,08/12/2014,176.78,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,08/12/2014,190.28,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,08/12/2014,181.17,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,08/12/2014,187.44,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,08/12/2014,172.82,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,08/12/2014,170.32,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,08/12/2014,222.31,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,08/12/2014,133.19,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,08/12/2014,127.56,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,08/12/2014,147.85,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,08/12/2014,135.47,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,08/12/2014,306.76,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,08/12/2014,342.16,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,08/12/2014,231.05,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,08/12/2014,342.97,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,08/12/2014,210.12,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,08/12/2014,151.96,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,08/12/2014,122.23,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,08/12/2014,206.80,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,08/12/2014,179.82,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,08/12/2014,105.82,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,08/12/2014,117.87,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,08/12/2014,181.03,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,08/12/2014,134.98,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,08/12/2014,314.52,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,08/12/2014,158.34,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,08/12/2014,271.83,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,08/12/2014,124.94,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,08/12/2014,215.92,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,08/12/2014,358.42,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,08/12/2014,210.83,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,08/12/2014,190.99,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,08/12/2014,165.75,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,08/12/2014,191.66,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,08/12/2014,170.76,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,12/12/2014,108.78,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,12/12/2014,305.90,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,12/12/2014,106.28,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,12/12/2014,120.60,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,12/12/2014,235.03,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,12/12/2014,101.35,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,12/12/2014,184.73,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,12/12/2014,101.02,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,12/12/2014,129.32,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,12/12/2014,160.97,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,12/12/2014,202.22,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,12/12/2014,184.68,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,12/12/2014,280.76,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,12/12/2014,102.34,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,12/12/2014,400.78,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,12/12/2014,377.60,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,12/12/2014,201.27,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,12/12/2014,161.18,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,12/12/2014,507.53,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,12/12/2014,109.06,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,12/12/2014,163.14,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,12/12/2014,340.93,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,12/12/2014,183.02,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,12/12/2014,148.86,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,12/12/2014,278.03,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,12/12/2014,127.50,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,12/12/2014,394.29,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,12/12/2014,252.11,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,12/12/2014,138.31,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,12/12/2014,121.56,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,12/12/2014,152.41,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,12/12/2014,192.07,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,12/12/2014,353.25,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,12/12/2014,219.10,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,12/12/2014,562.35,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,12/12/2014,268.10,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,12/12/2014,249.66,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,12/12/2014,109.75,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,12/12/2014,139.95,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,12/12/2014,130.00,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,12/12/2014,157.08,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,12/12/2014,263.81,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,12/12/2014,271.20,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,12/12/2014,128.35,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,12/12/2014,135.76,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,12/12/2014,242.34,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,12/12/2014,150.84,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,12/12/2014,236.15,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,12/12/2014,119.31,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,12/12/2014,121.90,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,12/12/2014,156.11,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,12/12/2014,399.16,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,12/12/2014,185.93,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,12/12/2014,187.75,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,12/12/2014,163.19,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,12/12/2014,193.41,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,12/12/2014,287.98,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,12/12/2014,170.98,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,12/12/2014,176.78,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,12/12/2014,104.23,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,12/12/2014,169.63,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,12/12/2014,744.36,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,12/12/2014,100.49,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,12/12/2014,105.04,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,12/12/2014,111.85,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,12/12/2014,204.59,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,12/12/2014,109.05,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,12/12/2014,142.45,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,12/12/2014,137.67,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,12/12/2014,183.23,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,12/12/2014,156.19,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,12/12/2014,232.00,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,12/12/2014,116.79,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,12/12/2014,423.75,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,12/12/2014,132.80,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,12/12/2014,421.13,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,12/12/2014,226.92,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,12/12/2014,283.67,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,12/12/2014,144.13,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,12/12/2014,103.62,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,12/12/2014,240.53,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,12/12/2014,229.98,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,12/12/2014,194.84,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,12/12/2014,127.29,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,12/12/2014,148.34,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,12/12/2014,128.51,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,12/12/2014,123.46,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,12/12/2014,121.41,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,12/12/2014,105.41,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,12/12/2014,217.31,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,12/12/2014,300.68,,
Customer Services,Catering,CASP,Supplies & Services,Crockery/Hardware/Light Equip,ERIC NEVILLE CATERING SUPPLIES LTD,03/12/2014,109.99,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,17/12/2014,121.97,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,17/12/2014,119.84,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,17/12/2014,195.22,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,17/12/2014,127.97,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,17/12/2014,132.31,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,17/12/2014,137.62,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,17/12/2014,212.60,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,17/12/2014,128.31,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,17/12/2014,129.45,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,17/12/2014,117.70,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,17/12/2014,175.48,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,17/12/2014,134.67,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,17/12/2014,183.46,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,17/12/2014,250.74,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,17/12/2014,156.25,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,17/12/2014,203.26,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,17/12/2014,154.38,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,17/12/2014,167.74,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,17/12/2014,111.14,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,17/12/2014,140.64,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,17/12/2014,218.49,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,17/12/2014,136.41,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,17/12/2014,154.59,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,17/12/2014,214.24,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,17/12/2014,243.63,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,17/12/2014,120.31,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,17/12/2014,177.23,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,10/12/2014,223.89,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,10/12/2014,135.20,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,10/12/2014,109.06,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,02/12/2014,100.25,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,02/12/2014,184.11,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,10/12/2014,585.26,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,10/12/2014,112.04,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,10/12/2014,145.59,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,10/12/2014,131.97,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,10/12/2014,248.59,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,10/12/2014,164.23,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,10/12/2014,143.60,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,10/12/2014,113.35,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,10/12/2014,104.91,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,10/12/2014,105.87,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,10/12/2014,203.02,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,10/12/2014,105.25,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,10/12/2014,109.34,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,10/12/2014,192.39,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,10/12/2014,109.07,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,10/12/2014,167.35,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,10/12/2014,261.90,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,10/12/2014,155.31,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,10/12/2014,100.57,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,10/12/2014,225.65,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,10/12/2014,100.82,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,10/12/2014,139.50,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,10/12/2014,135.85,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,10/12/2014,223.26,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,10/12/2014,209.32,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,10/12/2014,219.37,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,10/12/2014,189.52,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,10/12/2014,237.00,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,10/12/2014,128.16,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,10/12/2014,185.33,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,10/12/2014,123.86,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,10/12/2014,127.50,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,10/12/2014,143.54,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,10/12/2014,102.42,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,10/12/2014,274.74,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,10/12/2014,207.45,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,10/12/2014,405.08,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,10/12/2014,132.03,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,17/12/2014,106.41,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,17/12/2014,119.64,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,17/12/2014,162.95,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,17/12/2014,119.20,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,02/12/2014,140.38,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,02/12/2014,105.37,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,02/12/2014,123.59,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,02/12/2014,135.74,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,02/12/2014,264.62,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,02/12/2014,117.95,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,02/12/2014,303.13,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,02/12/2014,448.39,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,02/12/2014,141.32,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,02/12/2014,-309.00,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,02/12/2014,156.77,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,02/12/2014,104.83,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,02/12/2014,121.47,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,02/12/2014,254.32,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,02/12/2014,137.30,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,02/12/2014,110.09,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,02/12/2014,109.63,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,02/12/2014,127.40,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,02/12/2014,133.95,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,02/12/2014,128.09,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,John Sheppard Catering Butchers,02/12/2014,130.37,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,16/12/2014,111.11,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,10/12/2014,167.33,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,10/12/2014,108.78,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,10/12/2014,-340.56,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,10/12/2014,480.75,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,10/12/2014,174.10,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,10/12/2014,127.26,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,10/12/2014,160.54,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,10/12/2014,157.16,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,10/12/2014,119.05,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,16/12/2014,110.53,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,16/12/2014,121.56,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,16/12/2014,184.59,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,16/12/2014,126.02,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,16/12/2014,101.67,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,16/12/2014,112.88,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,16/12/2014,158.17,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,16/12/2014,196.70,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,16/12/2014,133.58,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,16/12/2014,-340.56,,
