Service Delivery Area(T),Service Delivery Team(T),ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date, Amount (£) 
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,04/06/2018,212.52
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,04/06/2018,295.9
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,20/06/2018,289.37
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,07/06/2018,271
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,07/06/2018,170.72
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,29/06/2018,897.89
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,15/06/2018,116.6
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,15/06/2018,128.17
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,04/06/2018,597
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,21/06/2018,149.99
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,21/06/2018,103.48
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,27/06/2018,116.36
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,27/06/2018,492.86
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,WINDOW & DOOR CONTRACT SERVICES,29/06/2018,147
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,WINDOW & DOOR CONTRACT SERVICES,12/06/2018,152.78
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,WINDOW & DOOR CONTRACT SERVICES,12/06/2018,150.56
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,WINDOW & DOOR CONTRACT SERVICES,12/06/2018,779.1
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,WINDOW & DOOR CONTRACT SERVICES,12/06/2018,183.64
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,WINDOW & DOOR CONTRACT SERVICES,12/06/2018,158.36
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,WINDOW & DOOR CONTRACT SERVICES,12/06/2018,196.9
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,WINDOW & DOOR CONTRACT SERVICES,12/06/2018,158.08
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,WINDOW & DOOR CONTRACT SERVICES,12/06/2018,508.09
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Building Other,WINDOW & DOOR CONTRACT SERVICES,11/06/2018,406.08
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,WINDOW & DOOR CONTRACT SERVICES,12/06/2018,253.51
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Contract Cleaning,TELFORD & WREKIN SERVICES LTD,04/06/2018,926.36
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,NOBRIDGE LTD,07/06/2018,275
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,NOBRIDGE LTD,29/06/2018,185
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,NOBRIDGE LTD,29/06/2018,175
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Grounds Maintenance - Other,NOBRIDGE LTD,13/06/2018,"6,078.52"
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Contributions to Premises-related Provisions,ERIC NEVILLE CATERING SUPPLIES LTD,08/06/2018,196
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Service Contracts,TAYLORS MECHANICAL H & P SERVICES LTD,08/06/2018,164.85
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Service Contracts,TAYLORS MECHANICAL H & P SERVICES LTD,07/06/2018,216
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Service Contracts,TAYLORS MECHANICAL H & P SERVICES LTD,07/06/2018,240
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Service Contracts,TAYLORS MECHANICAL H & P SERVICES LTD,08/06/2018,120
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Service Contracts,TAYLORS MECHANICAL H & P SERVICES LTD,08/06/2018,265.3
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Service Contracts,TAYLORS MECHANICAL H & P SERVICES LTD,08/06/2018,120
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Service Contracts,TAYLORS MECHANICAL H & P SERVICES LTD,08/06/2018,144
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,TAYLORS MECHANICAL H & P SERVICES LTD,07/06/2018,320
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,TAYLORS MECHANICAL H & P SERVICES LTD,07/06/2018,"1,345.00"
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,TAYLORS MECHANICAL H & P SERVICES LTD,07/06/2018,368.59
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,TAYLORS MECHANICAL H & P SERVICES LTD,08/06/2018,170.35
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Service Contracts,TAYLORS MECHANICAL H & P SERVICES LTD,07/06/2018,537.5
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Service Contracts,TAYLORS MECHANICAL H & P SERVICES LTD,07/06/2018,672
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,TAYLORS MECHANICAL H & P SERVICES LTD,08/06/2018,"1,179.14"
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,TAYLORS MECHANICAL H & P SERVICES LTD,08/06/2018,168
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,TAYLORS MECHANICAL H & P SERVICES LTD,08/06/2018,216
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,TAYLORS MECHANICAL H & P SERVICES LTD,08/06/2018,240
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,TAYLORS MECHANICAL H & P SERVICES LTD,08/06/2018,528
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Service Contracts,TAYLORS MECHANICAL H & P SERVICES LTD,13/06/2018,120
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,TAYLORS MECHANICAL H & P SERVICES LTD,07/06/2018,264
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,TAYLORS MECHANICAL H & P SERVICES LTD,07/06/2018,144
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,TAYLORS MECHANICAL H & P SERVICES LTD,08/06/2018,540
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,TAYLORS MECHANICAL H & P SERVICES LTD,08/06/2018,120
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,TAYLORS MECHANICAL H & P SERVICES LTD,08/06/2018,384
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,TAYLORS MECHANICAL H & P SERVICES LTD,08/06/2018,168
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,TAYLORS MECHANICAL H & P SERVICES LTD,07/06/2018,168
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,PP ELECTRICAL SERVICES (Shropshire) Ltd,13/06/2018,"2,195.00"
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,PP ELECTRICAL SERVICES (Shropshire) Ltd,15/06/2018,560
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,PP ELECTRICAL SERVICES (Shropshire) Ltd,15/06/2018,756.25
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Service Contracts,PP ELECTRICAL SERVICES (Shropshire) Ltd,15/06/2018,455
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,(CIS) BRITISH GAS SERVICES LTD ,15/06/2018,278.72
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,JCE & SONS LTD,04/06/2018,410
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,JCE & SONS LTD,04/06/2018,162.58
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,JCE & SONS LTD,04/06/2018,120
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,JCE & SONS LTD,04/06/2018,218
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,JCE & SONS LTD,04/06/2018,585
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,JCE & SONS LTD,04/06/2018,485
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,JCE & SONS LTD,04/06/2018,125.28
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,JCE & SONS LTD,04/06/2018,701.5
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,JCE & SONS LTD,04/06/2018,131.54
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,JCE & SONS LTD,04/06/2018,200.46
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,JCE & SONS LTD,04/06/2018,150
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,JCE & SONS LTD,04/06/2018,645
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,JCE & SONS LTD,27/06/2018,382.87
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,JCE & SONS LTD,04/06/2018,107.44
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,JCE & SONS LTD,04/06/2018,259.48
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,JCE & SONS LTD,04/06/2018,180
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,JCE & SONS LTD,04/06/2018,180
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,JCE & SONS LTD,04/06/2018,103
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,JCE & SONS LTD,04/06/2018,282
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,JCE & SONS LTD,27/06/2018,181.2
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,JCE & SONS LTD,27/06/2018,581.94
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,JCE & SONS LTD,27/06/2018,125.5
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,JCE & SONS LTD,27/06/2018,240
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,JCE & SONS LTD,27/06/2018,310.26
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,JCE & SONS LTD,20/06/2018,950
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,JCE & SONS LTD,27/06/2018,307
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,JCE & SONS LTD,27/06/2018,289
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,JCE & SONS LTD,27/06/2018,245
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,JCE & SONS LTD,04/06/2018,152
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,JCE & SONS LTD,04/06/2018,147
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Building Other,JCE & SONS LTD,04/06/2018,269.42
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Building Other,JCE & SONS LTD,04/06/2018,167.98
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,JCE & SONS LTD,19/06/2018,238.61
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,JCE & SONS LTD,19/06/2018,295
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,JCE & SONS LTD,19/06/2018,187.5
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,JCE & SONS LTD,19/06/2018,212.6
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,JCE & SONS LTD,11/06/2018,387.5
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,JCE & SONS LTD,04/06/2018,130.5
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,JCE & SONS LTD,04/06/2018,186.5
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,JCE & SONS LTD,04/06/2018,512
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,JCE & SONS LTD,04/06/2018,480
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,JCE & SONS LTD,04/06/2018,119
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,JCE & SONS LTD,04/06/2018,775.3
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,JCE & SONS LTD,04/06/2018,110
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,JCE & SONS LTD,04/06/2018,120
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,JCE & SONS LTD,04/06/2018,452.49
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,JCE & SONS LTD,04/06/2018,230.38
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,JCE & SONS LTD,05/06/2018,122.5
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,JCE & SONS LTD,27/06/2018,244.08
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,JCE & SONS LTD,27/06/2018,320
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,JCE & SONS LTD,29/06/2018,747.56
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,JCE & SONS LTD,08/06/2018,"1,733.06"
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,JCE & SONS LTD,04/06/2018,299
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,JCE & SONS LTD,04/06/2018,725
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,JCE & SONS LTD,27/06/2018,336.31
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,JCE & SONS LTD,27/06/2018,186.82
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,SDT ELECTRICAL LTD,29/06/2018,198.22
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,SDT ELECTRICAL LTD,12/06/2018,385
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,WREKIN DRAIN SERVICES LTD,21/06/2018,112.22
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,WREKIN DRAIN SERVICES LTD,15/06/2018,105
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,WREKIN DRAIN SERVICES LTD,15/06/2018,180
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,WREKIN DRAIN SERVICES LTD,20/06/2018,105
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,WREKIN DRAIN SERVICES LTD,25/06/2018,105
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,WREKIN DRAIN SERVICES LTD,19/06/2018,180
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Building Other,WREKIN DRAIN SERVICES LTD,20/06/2018,105
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,WREKIN DRAIN SERVICES LTD,13/06/2018,150
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,WREKIN DRAIN SERVICES LTD,20/06/2018,217.5
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,WREKIN DRAIN SERVICES LTD,21/06/2018,105
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,WREKIN DRAIN SERVICES LTD,21/06/2018,105
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,WREKIN DRAIN SERVICES LTD,22/06/2018,105
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,WREKIN DRAIN SERVICES LTD,20/06/2018,430
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Building Other,WREKIN DRAIN SERVICES LTD,25/06/2018,180
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,WREKIN DRAIN SERVICES LTD,25/06/2018,180
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,WREKIN DRAIN SERVICES LTD,25/06/2018,105
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,WREKIN DRAIN SERVICES LTD,21/06/2018,105
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,COOL SERVICES LTD,20/06/2018,458.65
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,COOL SERVICES LTD,20/06/2018,377
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,COOL SERVICES LTD,15/06/2018,201
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Service Contracts,COOL SERVICES LTD,15/06/2018,663
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,COOL SERVICES LTD,15/06/2018,118.02
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,COOL SERVICES LTD,15/06/2018,226.85
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Service Contracts,COOL SERVICES LTD,15/06/2018,439.57
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Service Contracts,COOL SERVICES LTD,18/06/2018,"1,479.36"
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Service Contracts,COOL SERVICES LTD,20/06/2018,436.8
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Service Contracts,COOL SERVICES LTD,20/06/2018,547.2
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Service Contracts,COOL SERVICES LTD,20/06/2018,692.26
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Service Contracts,COOL SERVICES LTD,20/06/2018,336.75
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,COOL SERVICES LTD,15/06/2018,110
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,COOL SERVICES LTD,15/06/2018,103.47
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,COOL SERVICES LTD,15/06/2018,156.5
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,COOL SERVICES LTD,18/06/2018,"2,119.56"
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Service Contracts,COOL SERVICES LTD,22/06/2018,304.55
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Service Contracts,COOL SERVICES LTD,15/06/2018,469.36
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,A1 Glass & Glazing (Shropshire) Limited,29/06/2018,110
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,A1 Glass & Glazing (Shropshire) Limited,25/06/2018,120
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,Reacted Personal Information,07/06/2018,221.51
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,Reacted Personal Information,04/06/2018,269.99
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Service Contracts,Reacted Personal Information,04/06/2018,127.5
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Service Contracts,Reacted Personal Information,04/06/2018,128.39
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Service Contracts,Reacted Personal Information,04/06/2018,217
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Service Contracts,Reacted Personal Information,04/06/2018,127.5
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Service Contracts,Reacted Personal Information,04/06/2018,509.65
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Service Contracts,Reacted Personal Information,20/06/2018,281.04
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,Reacted Personal Information,04/06/2018,-136.13
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,Reacted Personal Information,04/06/2018,"-3,173.75"
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,Reacted Personal Information,04/06/2018,155.01
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Service Contracts,Reacted Personal Information,04/06/2018,132.75
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Service Contracts,Reacted Personal Information,04/06/2018,127.5
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Service Contracts,Reacted Personal Information,04/06/2018,191.25
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,Reacted Personal Information,04/06/2018,388.78
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,Reacted Personal Information,04/06/2018,"2,435.11"
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,Reacted Personal Information,04/06/2018,"3,173.75"
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,Reacted Personal Information,04/06/2018,174.56
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,Reacted Personal Information,04/06/2018,107.38
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,Reacted Personal Information,04/06/2018,"2,663.34"
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,Reacted Personal Information,04/06/2018,166.47
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,Reacted Personal Information,04/06/2018,320.07
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,Reacted Personal Information,04/06/2018,211
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,Reacted Personal Information,04/06/2018,951.83
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,Reacted Personal Information,20/06/2018,304.91
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,Reacted Personal Information,04/06/2018,107.7
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,Reacted Personal Information,04/06/2018,429.58
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Service Contracts,Reacted Personal Information,04/06/2018,771.18
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,Reacted Personal Information,19/06/2018,126.05
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,Reacted Personal Information,20/06/2018,188.18
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Service Contracts,Reacted Personal Information,20/06/2018,318.75
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,Reacted Personal Information,04/06/2018,211
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,Reacted Personal Information,04/06/2018,207.38
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,Reacted Personal Information,20/06/2018,503.44
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,Reacted Personal Information,20/06/2018,153.82
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,Reacted Personal Information,20/06/2018,"2,943.04"
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Service Contracts,Reacted Personal Information,04/06/2018,"2,667.07"
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,Reacted Personal Information,04/06/2018,"1,111.76"
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,Reacted Personal Information,04/06/2018,370.35
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,Reacted Personal Information,04/06/2018,572.5
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,Reacted Personal Information,04/06/2018,192.5
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,Reacted Personal Information,04/06/2018,114.62
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,Reacted Personal Information,04/06/2018,517.2
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,Reacted Personal Information,20/06/2018,660.04
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Service Contracts,Ener-g Combined Power Ltd,18/06/2018,"13,921.83"
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Service Contracts,Churches Fire Security Ltd,20/06/2018,157.5
