Service Delivery Area(T),Service Delivery Team(T),CostC,ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount,,,,,,,
"Development, Business & Employment",Business & Development Planning,WDAF,Capital Expenditure,Expenditure on loans & other financial assistance,ROSEMONT BUILDING CONTRACTORS,19/08/2014,4526.9,,,,,,,
"Development, Business & Employment",Business & Development Planning,WDAF,Capital Expenditure,Expenditure on loans & other financial assistance,R.O. Sandbrook Ltd,19/08/2014,528,,,,,,,
"Development, Business & Employment",Business & Development Planning,WDAF,Capital Expenditure,Expenditure on loans & other financial assistance,ROSEMONT BUILDING CONTRACTORS,19/08/2014,4822.5,,,,,,,
"Development, Business & Employment",Business & Development Planning,WDAF,Capital Expenditure,Expenditure on loans & other financial assistance,THE WREKIN HOUSING TRUST (INVOICES ONLY),19/08/2014,780,,,,,,,
"Development, Business & Employment",Business & Development Planning,WDAF,Capital Expenditure,Expenditure on loans & other financial assistance,STANNAH LIFT SERVICES LTD,19/08/2014,1386,,,,,,,
"Development, Business & Employment",Business & Development Planning,WDAF,Capital Expenditure,Expenditure on loans & other financial assistance,THE WREKIN HOUSING TRUST (INVOICES ONLY),19/08/2014,780,,,,,,,
"Development, Business & Employment",Business & Development Planning,WDAF,Capital Expenditure,Expenditure on loans & other financial assistance,THE WREKIN HOUSING TRUST (INVOICES ONLY),19/08/2014,780,,,,,,,
"Development, Business & Employment",Business & Development Planning,WDAF,Capital Expenditure,Expenditure on loans & other financial assistance,THE WREKIN HOUSING TRUST (INVOICES ONLY),19/08/2014,780,,,,,,,
"Development, Business & Employment",Business & Development Planning,WDAF,Capital Expenditure,Expenditure on loans & other financial assistance,THE WREKIN HOUSING TRUST (INVOICES ONLY),19/08/2014,1600,,,,,,,
"Development, Business & Employment",Business & Development Planning,WDAF,Capital Expenditure,Expenditure on loans & other financial assistance,DMW ENVIRONMENTAL SAFETY LTD,19/08/2014,150,,,,,,,
"Development, Business & Employment",Business & Development Planning,WDAF,Capital Expenditure,Expenditure on loans & other financial assistance,DMW ENVIRONMENTAL SAFETY LTD,19/08/2014,150,,,,,,,
"Development, Business & Employment",Business & Development Planning,WDAF,Capital Expenditure,Expenditure on loans & other financial assistance,BOURNVILLE VILLAGE TRUST,07/08/2014,1987.69,,,,,,,
"Development, Business & Employment",Business & Development Planning,WDAF,Capital Expenditure,Expenditure on loans & other financial assistance,STANNAH LIFT SERVICES LTD,07/08/2014,3190.07,,,,,,,
"Development, Business & Employment",Business & Development Planning,WDAF,Capital Expenditure,Expenditure on loans & other financial assistance,REDACTED PERSONAL INFORMATION,07/08/2014,5388,,,,,,,
"Development, Business & Employment",Business & Development Planning,WDAF,Capital Expenditure,Expenditure on loans & other financial assistance,REDACTED PERSONAL INFORMATION,07/08/2014,11232.6,,,,,,,
"Development, Business & Employment",Business & Development Planning,WDAF,Capital Expenditure,Expenditure on loans & other financial assistance,THREE PINES BUILDING CO LTD,07/08/2014,3011.29,,,,,,,
"Development, Business & Employment",Business & Development Planning,WDAF,Capital Expenditure,Expenditure on loans & other financial assistance,E DAVIES & SON,04/08/2014,11000,,,,,,,
"Development, Business & Employment",Business & Development Planning,WDAF,Capital Expenditure,Expenditure on loans & other financial assistance,AIDS & ADAPTIONS LTD,04/08/2014,2264.76,,,,,,,
"Development, Business & Employment",Business & Development Planning,WDAF,Capital Expenditure,Expenditure on loans & other financial assistance,REDACTED PERSONAL INFORMATION,04/08/2014,14824.12,,,,,,,
"Development, Business & Employment",Business & Development Planning,WDAF,Capital Expenditure,Expenditure on loans & other financial assistance,AIDS & ADAPTIONS LTD,04/08/2014,3815.9,,,,,,,
"Development, Business & Employment",Business & Development Planning,WDAF,Capital Expenditure,Expenditure on loans & other financial assistance,REDACTED PERSONAL INFORMATION,04/08/2014,1562.4,,,,,,,
"Development, Business & Employment",Business & Development Planning,WDAF,Capital Expenditure,Expenditure on loans & other financial assistance,STANNAH LIFT SERVICES LTD,04/08/2014,1336,,,,,,,
"Development, Business & Employment",Business & Development Planning,WDAF,Capital Expenditure,Expenditure on loans & other financial assistance,DMW ENVIRONMENTAL SAFETY LTD,04/08/2014,150,,,,,,,
"Development, Business & Employment",Business & Development Planning,WDAF,Capital Expenditure,Expenditure on loans & other financial assistance,THE WREKIN HOUSING TRUST (INVOICES ONLY),04/08/2014,1600,,,,,,,
"Development, Business & Employment",Business & Development Planning,WDAF,Capital Expenditure,Expenditure on loans & other financial assistance,THE WREKIN HOUSING TRUST (INVOICES ONLY),04/08/2014,1600,,,,,,,
"Development, Business & Employment",Business & Development Planning,WDAF,Capital Expenditure,Expenditure on loans & other financial assistance,THE WREKIN HOUSING TRUST (INVOICES ONLY),04/08/2014,1600,,,,,,,
"Development, Business & Employment",Business & Development Planning,WDAF,Capital Expenditure,Expenditure on loans & other financial assistance,ROSEMONT BUILDING CONTRACTORS,04/08/2014,2335,,,,,,,
"Development, Business & Employment",Business & Development Planning,WDAF,Capital Expenditure,Expenditure on loans & other financial assistance,W&B Contractors,04/08/2014,6955.96,,,,,,,
"Development, Business & Employment",Business & Development Planning,WDST,Capital Expenditure,Payments to Contractor,BUSINESS WATCH GUARDING LIMITED,26/08/2014,585,,,,,,,
"Development, Business & Employment",Business & Development Planning,WDST,Capital Expenditure,Payments to Contractor,PAVE AWAYS LTD,19/08/2014,41780.74,,,,,,,
"Development, Business & Employment",Business & Development Planning,WDST,Capital Expenditure,Payments to Contractor,DMW ENVIRONMENTAL SAFETY LTD,05/08/2014,850,,,,,,,
"Development, Business & Employment",Business & Development Planning,WDST,Capital Expenditure,Payments to Contractor,DMW ENVIRONMENTAL SAFETY LTD,05/08/2014,850,,,,,,,
"Development, Business & Employment",Development Management,DDAA,Employees,Professional Subs,The Association of Building Engineers,08/08/2014,232,,,,,,,
"Development, Business & Employment",Development Management,DDAA,Employees,Professional Subs,The Association of Building Engineers,08/08/2014,232,,,,,,,
"Development, Business & Employment",Development Management,DDAA,Supplies & Services,Application Software Maint,MIS LOCAL GOVERNMENT SYSTEMS LTD,05/08/2014,5042.86,,,,,,,
"Development, Business & Employment",Development Management,DDAC,Supplies & Services,Advertising,THE MIDLAND NEWS ASSOCIATION LTD,21/08/2014,173.25,,,,,,,
"Development, Business & Employment",Development Management,DDAC,Supplies & Services,Advertising,THE MIDLAND NEWS ASSOCIATION LTD,14/08/2014,222.75,,,,,,,
"Development, Business & Employment",Development Management,DDAC,Supplies & Services,Advertising,THE MIDLAND NEWS ASSOCIATION LTD,28/08/2014,222.75,,,,,,,
"Development, Business & Employment",Development Management,DDAC,Supplies & Services,Legal Expenses,WYG Environment Planning Transport Ltd,04/08/2014,375,,,,,,,
"Development, Business & Employment",Development Management,DDAC,Supplies & Services,Legal Expenses,WYG Environment Planning Transport Ltd,04/08/2014,375,,,,,,,
"Development, Business & Employment",Development Management,DDAD,Premises-Related Expenditure,Planned Repairs,CADER CONSTRUCTION LTD,07/08/2014,1970,,,,,,,
"Development, Business & Employment",Development Management,DDAD,Supplies & Services,Other Expenses,TAMESIDE MBC,13/08/2014,267.43,,,,,,,
"Development, Business & Employment",Development Management,DDAE,Supplies & Services,Advertising,THE MIDLAND NEWS ASSOCIATION LTD,07/08/2014,173.25,,,,,,,
"Development, Business & Employment",Development Management,DDAG,Employees,Recruitment Advertising,HAYMARKET PUBLISHING SERVICES LTD,15/08/2014,1167,,,,,,,
"Development, Business & Employment",Development Management,DDAG,Employees,Recruitment Advertising,UA Solutions Ltd,07/08/2014,109,,,,,,,
"Development, Business & Employment",Development Management,DDAG,Employees,Training Expenses,Geoplace LLP,19/08/2014,195,,,,,,,
"Development, Business & Employment",Property & Design,CAAG,Employees,Agency Supply Costs,RACS Collective Limited,01/08/2014,759.62,,,,,,,
"Development, Business & Employment",Property & Design,CAAG,Employees,Agency Supply Costs,RACS Collective Limited,01/08/2014,786.56,,,,,,,
"Development, Business & Employment",Property & Design,CAAG,Employees,Agency Supply Costs,RACS Collective Limited,11/08/2014,797.12,,,,,,,
"Development, Business & Employment",Property & Design,CAAG,Employees,Agency Supply Costs,RACS Collective Limited,11/08/2014,789.12,,,,,,,
"Development, Business & Employment",Property & Design,CAAG,Employees,Agency Supply Costs,RACS Collective Limited,06/08/2014,832.9,,,,,,,
"Development, Business & Employment",Property & Design,CAAG,Supplies & Services,Consultants Fees,EMECH Consultants Ltd,08/08/2014,12863.83,,,,,,,
"Development, Business & Employment",Property & Design,CAAG,Supplies & Services,Consultants Fees,JORDAN LEWIS ASSOCIATES LTD,19/08/2014,320,,,,,,,
"Development, Business & Employment",Property & Design,CAAG,Supplies & Services,Other Services,JONES & HAMPTON LTD,07/08/2014,24362.16,,,,,,,
"Development, Business & Employment",Property & Design,CAAG,Supplies & Services,Printing - Other,STANFORD MARSH FINANCE LTD,19/08/2014,593.3,,,,,,,
"Development, Business & Employment",Property & Design,CAAH,Premises-Related Expenditure,R&M -Building Other,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,01/08/2014,336.65,,,,,,,
"Development, Business & Employment",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,George Birchall Limited,08/08/2014,252.45,,,,,,,
"Development, Business & Employment",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,PP ELECTRICAL SERVICES (Shropshire) Ltd,01/08/2014,184.9,,,,,,,
"Development, Business & Employment",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,AQUALOGIC (WC) LTD,01/08/2014,183.6,,,,,,,
"Development, Business & Employment",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,AGS AUTOMATIC DOORS LTD,01/08/2014,320,,,,,,,
"Development, Business & Employment",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,TAYLORS MECHANICAL H & P SERVICES LTD,01/08/2014,225,,,,,,,
"Development, Business & Employment",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,SECURITY WISE LTD,01/08/2014,345,,,,,,,
"Development, Business & Employment",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,SECURITY WISE LTD,01/08/2014,345,,,,,,,
"Development, Business & Employment",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,SECURITY WISE LTD,01/08/2014,345,,,,,,,
"Development, Business & Employment",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,Churches Fire Security Ltd,01/08/2014,108.35,,,,,,,
"Development, Business & Employment",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,Churches Fire Security Ltd,01/08/2014,200.54,,,,,,,
"Development, Business & Employment",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,Churches Fire Security Ltd,01/08/2014,276.31,,,,,,,
"Development, Business & Employment",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,Churches Fire Security Ltd,01/08/2014,165.94,,,,,,,
"Development, Business & Employment",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,Churches Fire Security Ltd,01/08/2014,227.09,,,,,,,
"Development, Business & Employment",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,Churches Fire Security Ltd,01/08/2014,267.79,,,,,,,
"Development, Business & Employment",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,Churches Fire Security Ltd,01/08/2014,321.48,,,,,,,
"Development, Business & Employment",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,Churches Fire Security Ltd,01/08/2014,305.39,,,,,,,
"Development, Business & Employment",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,Churches Fire Security Ltd,01/08/2014,276.64,,,,,,,
"Development, Business & Employment",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,Churches Fire Security Ltd,01/08/2014,300.37,,,,,,,
"Development, Business & Employment",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,Churches Fire Security Ltd,01/08/2014,148.19,,,,,,,
"Development, Business & Employment",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,Puresafety USE 502153,01/08/2014,396,,,,,,,
"Development, Business & Employment",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,AQUALOGIC (WC) LTD,27/08/2014,191.1,,,,,,,
"Development, Business & Employment",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,E DAVIES & SON,19/08/2014,980,,,,,,,
"Development, Business & Employment",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,E DAVIES & SON,19/08/2014,299.41,,,,,,,
"Development, Business & Employment",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,WINDOW & DOOR CONTRACT SERVICES,19/08/2014,1096.92,,,,,,,
"Development, Business & Employment",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,JONES & HAMPTON LTD,19/08/2014,840.64,,,,,,,
"Development, Business & Employment",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,JONES & HAMPTON LTD,19/08/2014,274.58,,,,,,,
"Development, Business & Employment",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,JCE & SONS LTD,19/08/2014,304.4,,,,,,,
"Development, Business & Employment",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,JCE & SONS LTD,19/08/2014,172.5,,,,,,,
"Development, Business & Employment",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,George Birchall Limited,19/08/2014,1054.45,,,,,,,
"Development, Business & Employment",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,George Birchall Limited,19/08/2014,132.44,,,,,,,
"Development, Business & Employment",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,D P WILCOX & SON,19/08/2014,169,,,,,,,
"Development, Business & Employment",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,D P WILCOX & SON,19/08/2014,101.5,,,,,,,
"Development, Business & Employment",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,SECURITY WISE LTD,19/08/2014,150,,,,,,,
"Development, Business & Employment",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,SECURITY WISE LTD,19/08/2014,135,,,,,,,
"Development, Business & Employment",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,George Birchall Limited,19/08/2014,4380.65,,,,,,,
"Development, Business & Employment",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,SECURITY WISE LTD,20/08/2014,610,,,,,,,
"Development, Business & Employment",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,AQUALOGIC (WC) LTD,27/08/2014,251.5,,,,,,,
"Development, Business & Employment",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,TREBLE PUMPING SERVICES LTD,27/08/2014,144.38,,,,,,,
"Development, Business & Employment",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,TREBLE PUMPING SERVICES LTD,27/08/2014,144.38,,,,,,,
"Development, Business & Employment",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,TREBLE PUMPING SERVICES LTD,27/08/2014,288.76,,,,,,,
"Development, Business & Employment",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,TREBLE PUMPING SERVICES LTD,27/08/2014,144.38,,,,,,,
"Development, Business & Employment",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,AGS AUTOMATIC DOORS LTD,27/08/2014,120,,,,,,,
"Development, Business & Employment",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,D P WILCOX & SON,12/08/2014,160,,,,,,,
"Development, Business & Employment",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,GRA-BERN,12/08/2014,526.5,,,,,,,
"Development, Business & Employment",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,George Birchall Limited,12/08/2014,183.15,,,,,,,
"Development, Business & Employment",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,George Birchall Limited,12/08/2014,101.65,,,,,,,
"Development, Business & Employment",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,George Birchall Limited,12/08/2014,213.79,,,,,,,
"Development, Business & Employment",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,NOBRIDGE LTD,12/08/2014,695,,,,,,,
"Development, Business & Employment",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,George Birchall Limited,12/08/2014,128.28,,,,,,,
"Development, Business & Employment",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,George Birchall Limited,12/08/2014,484.88,,,,,,,
"Development, Business & Employment",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,RCS ROOFING CONSTRUCTION SERVICES LTD,12/08/2014,107.6,,,,,,,
"Development, Business & Employment",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,George Birchall Limited,12/08/2014,113.75,,,,,,,
"Development, Business & Employment",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,TREBLE PUMPING SERVICES LTD,27/08/2014,144.38,,,,,,,
"Development, Business & Employment",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,JONES & HAMPTON LTD,06/08/2014,246.95,,,,,,,
"Development, Business & Employment",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,JONES & HAMPTON LTD,06/08/2014,125.46,,,,,,,
"Development, Business & Employment",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,AQUALOGIC (WC) LTD,06/08/2014,171.1,,,,,,,
"Development, Business & Employment",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,AQUALOGIC (WC) LTD,06/08/2014,126.4,,,,,,,
"Development, Business & Employment",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,SECURITY WISE LTD,06/08/2014,150,,,,,,,
"Development, Business & Employment",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,PRYCE (BUILDERS) LTD,04/08/2014,134.25,,,,,,,
"Development, Business & Employment",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,JONES & HAMPTON LTD,04/08/2014,1863.39,,,,,,,
"Development, Business & Employment",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,NOBRIDGE LTD,04/08/2014,750,,,,,,,
"Development, Business & Employment",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,NOBRIDGE LTD,04/08/2014,995,,,,,,,
"Development, Business & Employment",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,BRITISH GAS SERVICES (COMMERCIAL) LTD,04/08/2014,-126,,,,,,,
"Development, Business & Employment",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,AGS AUTOMATIC DOORS LTD,04/08/2014,120,,,,,,,
"Development, Business & Employment",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,Churches Fire Security Ltd,04/08/2014,207.63,,,,,,,
"Development, Business & Employment",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,TAYLORS MECHANICAL H & P SERVICES LTD,04/08/2014,690,,,,,,,
"Development, Business & Employment",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,JONES & HAMPTON LTD,04/08/2014,120.5,,,,,,,
"Development, Business & Employment",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,SECURITY WISE LTD,04/08/2014,864,,,,,,,
"Development, Business & Employment",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,AQUALOGIC (WC) LTD,04/08/2014,379,,,,,,,
"Development, Business & Employment",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,AGS AUTOMATIC DOORS LTD,04/08/2014,120,,,,,,,
"Development, Business & Employment",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,Churches Fire Security Ltd,04/08/2014,160.09,,,,,,,
"Development, Business & Employment",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,PP ELECTRICAL SERVICES (Shropshire) Ltd,04/08/2014,179.37,,,,,,,
"Development, Business & Employment",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,Churches Fire Security Ltd,04/08/2014,224.55,,,,,,,
"Development, Business & Employment",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,E DAVIES & SON,04/08/2014,418.05,,,,,,,
"Development, Business & Employment",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,AGS AUTOMATIC DOORS LTD,04/08/2014,120,,,,,,,
"Development, Business & Employment",Property & Design,CAAH,Premises-Related Expenditure,Service Contracts,AGS AUTOMATIC DOORS LTD,27/08/2014,120,,,,,,,
"Development, Business & Employment",Property & Design,COAE,Premises-Related Expenditure,Clean Mats & Toilet Requisites,QUICK SKIPS (TELFORD) LTD,12/08/2014,165,,,,,,,
"Development, Business & Employment",Property & Design,COAE,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),15/08/2014,1437.31,,,,,,,
"Development, Business & Employment",Property & Design,COAE,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),15/08/2014,1704.38,,,,,,,
"Development, Business & Employment",Property & Design,COAE,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),15/08/2014,1241.16,,,,,,,
"Development, Business & Employment",Property & Design,COAE,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),15/08/2014,218.58,,,,,,,
"Development, Business & Employment",Property & Design,COAE,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),15/08/2014,365.47,,,,,,,
"Development, Business & Employment",Property & Design,COAE,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),15/08/2014,283.04,,,,,,,
"Development, Business & Employment",Property & Design,COAE,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),15/08/2014,-1087.74,,,,,,,
"Development, Business & Employment",Property & Design,COAE,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),15/08/2014,464.53,,,,,,,
"Development, Business & Employment",Property & Design,COAE,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),15/08/2014,143.49,,,,,,,
"Development, Business & Employment",Property & Design,COAE,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),15/08/2014,501.76,,,,,,,
"Development, Business & Employment",Property & Design,COAE,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),15/08/2014,377.87,,,,,,,
"Development, Business & Employment",Property & Design,COAE,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),15/08/2014,415.34,,,,,,,
"Development, Business & Employment",Property & Design,COAE,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),22/08/2014,401.73,,,,,,,
"Development, Business & Employment",Property & Design,COAE,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),11/08/2014,2714.1,,,,,,,
"Development, Business & Employment",Property & Design,COAE,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),11/08/2014,826.46,,,,,,,
"Development, Business & Employment",Property & Design,COAE,Premises-Related Expenditure,Gas,West Mercia Energy (WME),22/08/2014,749.31,,,,,,,
"Development, Business & Employment",Property & Design,COAE,Premises-Related Expenditure,Gas,West Mercia Energy (WME),22/08/2014,117.63,,,,,,,
"Development, Business & Employment",Property & Design,COAE,Premises-Related Expenditure,Gas,West Mercia Energy (WME),11/08/2014,362.7,,,,,,,
"Development, Business & Employment",Property & Design,COAE,Premises-Related Expenditure,Gas,West Mercia Energy (WME),11/08/2014,-1148.46,,,,,,,
"Development, Business & Employment",Property & Design,COAE,Premises-Related Expenditure,R&M -Buildings DLO Charge,George Birchall Limited,12/08/2014,3340.7,,,,,,,
"Development, Business & Employment",Property & Design,COAE,Premises-Related Expenditure,R&M -Buildings DLO Charge,WREKIN DRAIN SERVICES LTD,12/08/2014,161.1,,,,,,,
"Development, Business & Employment",Property & Design,COAE,Premises-Related Expenditure,R&M -Buildings DLO Charge,SECURITY WISE LTD,14/08/2014,610,,,,,,,
"Development, Business & Employment",Property & Design,COAE,Premises-Related Expenditure,R&M -Buildings DLO Charge,SECURITY WISE LTD,01/08/2014,500,,,,,,,
"Development, Business & Employment",Property & Design,COAE,Premises-Related Expenditure,R&M -Buildings DLO Charge,TURNER ENGINE POWERED SERVICES LTD,01/08/2014,156,,,,,,,
"Development, Business & Employment",Property & Design,COAE,Premises-Related Expenditure,R&M -Buildings DLO Charge,JCE & SONS LTD,19/08/2014,106.6,,,,,,,
"Development, Business & Employment",Property & Design,COAE,Premises-Related Expenditure,R&M -Buildings DLO Charge,PROKILL UK LIMITED,19/08/2014,150,,,,,,,
"Development, Business & Employment",Property & Design,COAE,Premises-Related Expenditure,R&M -Buildings DLO Charge,ADT FIRE & SECURITY PLC,19/08/2014,1083.49,,,,,,,
"Development, Business & Employment",Property & Design,COAE,Premises-Related Expenditure,R&M -Buildings DLO Charge,FCC RECYCLING (UK) LIMITED,27/08/2014,416.26,,,,,,,
"Development, Business & Employment",Property & Design,COAE,Premises-Related Expenditure,R&M -Buildings DLO Charge,George Birchall Limited,12/08/2014,2620.54,,,,,,,
"Development, Business & Employment",Property & Design,COAE,Premises-Related Expenditure,R&M -Buildings DLO Charge,JONES & HAMPTON LTD,12/08/2014,808.07,,,,,,,
"Development, Business & Employment",Property & Design,COAE,Premises-Related Expenditure,R&M -Buildings DLO Charge,DMW ENVIRONMENTAL SAFETY LTD,18/08/2014,150,,,,,,,
"Development, Business & Employment",Property & Design,COAE,Premises-Related Expenditure,Service Contracts,MK Door Systems Ltd T/A Style Midlands,01/08/2014,357.5,,,,,,,
"Development, Business & Employment",Property & Design,COAE,Premises-Related Expenditure,Service Contracts,SECURITY WISE LTD,01/08/2014,200,,,,,,,
"Development, Business & Employment",Property & Design,COAE,Premises-Related Expenditure,Service Contracts,AGS AUTOMATIC DOORS LTD,27/08/2014,120,,,,,,,
"Development, Business & Employment",Property & Design,COAE,Premises-Related Expenditure,Trade Refuse,FCC RECYCLING (UK) LIMITED,21/08/2014,119.92,,,,,,,
"Development, Business & Employment",Property & Design,COAG,Premises-Related Expenditure,R&M -Buildings DLO Charge,BRADLEY INDUSTRIAL SERVICES,13/08/2014,106.7,,,,,,,
"Development, Business & Employment",Property & Design,COAG,Premises-Related Expenditure,R&M -Buildings DLO Charge,George Birchall Limited,01/08/2014,547.75,,,,,,,
"Development, Business & Employment",Property & Design,COAG,Premises-Related Expenditure,R&M -Buildings DLO Charge,BRADLEY INDUSTRIAL SERVICES,01/08/2014,499.3,,,,,,,
"Development, Business & Employment",Property & Design,COAG,Premises-Related Expenditure,R&M -Buildings DLO Charge,PP ELECTRICAL SERVICES (Shropshire) Ltd,01/08/2014,197.4,,,,,,,
"Development, Business & Employment",Property & Design,COAG,Premises-Related Expenditure,R&M -Buildings DLO Charge,BRADLEY INDUSTRIAL SERVICES,01/08/2014,400.84,,,,,,,
"Development, Business & Employment",Property & Design,COAG,Premises-Related Expenditure,R&M -Buildings DLO Charge,SECURITY WISE LTD,15/08/2014,255,,,,,,,
"Development, Business & Employment",Property & Design,COAG,Premises-Related Expenditure,R&M -Buildings DLO Charge,BRADLEY INDUSTRIAL SERVICES,19/08/2014,121.04,,,,,,,
"Development, Business & Employment",Property & Design,COAG,Premises-Related Expenditure,R&M -Buildings DLO Charge,BRADLEY INDUSTRIAL SERVICES,19/08/2014,420.12,,,,,,,
