Service Delivery Area(T),Service Delivery Team(T),ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date, Amount ,
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,SECURITY WISE LTD,23/05/2018, 195.00 ,
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,SECURITY WISE LTD,23/05/2018, 160.00 ,
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,SHROPSHIRE BLINDS & AWNINGS LIMITED,30/05/2018, 437.50 ,
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Gas,SCOTTISH & SOUTHERN ENERGY,14/05/2018, 871.84 ,
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Planned Repairs,SCOTTISH & SOUTHERN ENERGY,14/05/2018, 311.62 ,
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,G M TREBLE LTD,17/05/2018, 199.00 ,
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,G M TREBLE LTD,21/05/2018, 117.50 ,
Commercial Services,Property & Design (BiT),Supplies & Services,Other Expenses,TELFORD & WREKIN CVS,09/05/2018, 276.00 ,
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,JOHNSON CONTROLS LTD,01/05/2018, 336.28 ,
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,JOHNSON CONTROLS LTD,11/05/2018, 768.50 ,
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,JOHNSON CONTROLS LTD,11/05/2018," 3,786.00 ",
Commercial Services,Property & Design (BiT),Supplies & Services,Consultants Fees,Browne Jacobson LLP,31/05/2018," 5,750.00 ",
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Gas,West Mercia Energy (WME),01/05/2018," 3,052.55 ",
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Gas,West Mercia Energy (WME),01/05/2018, 697.61 ,
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Gas,West Mercia Energy (WME),01/05/2018," 2,173.20 ",
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Gas,West Mercia Energy (WME),01/05/2018, 663.43 ,
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Gas,West Mercia Energy (WME),01/05/2018, 672.45 ,
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Gas,West Mercia Energy (WME),01/05/2018, 288.20 ,
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Gas,West Mercia Energy (WME),01/05/2018, 156.31 ,
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Gas,West Mercia Energy (WME),01/05/2018," 4,008.65 ",
Commercial Services,Property & Design (BiT),Supplies & Services,Consultants Fees,SystemsLink,15/05/2018," 2,190.00 ",
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Service Contracts,Sorption Wheel Services Ltd T/A Dehum UK,08/05/2018, 710.00 ,
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,Green Assess Telford and Wrekin,25/05/2018, 215.00 ,
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Service Contracts,Aqua Cooling,30/05/2018," 1,755.00 ",
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Other Energy Costs,Energy Merchants Ltd,11/05/2018, 181.01 ,
Commercial Services,Property & Design (BiT),Employees,Staff Training,Shropshire Constructing Excellence,23/05/2018, 195.00 ,
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,Pinnacle Safety Group Ltd,23/05/2018," 6,495.00 ",
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,Pinnacle Safety Group Ltd,23/05/2018, 245.00 ,
Commercial Services,Property & Design (BiT),Employees,Agency Supply Costs,NIYAA PEOPLE LTD,18/05/2018, 898.88 ,
Commercial Services,Property & Design (BiT),Employees,Agency Supply Costs,NIYAA PEOPLE LTD,31/05/2018," 1,844.80 ",
Commercial Services,Property & Design (BiT),Employees,Agency Supply Costs,NIYAA PEOPLE LTD,16/05/2018," 1,741.20 ",
Commercial Services,Property & Design (BiT),Employees,Agency Supply Costs,NIYAA PEOPLE LTD,23/05/2018," 1,821.74 ",
Commercial Services,Property & Design (BiT),Employees,Agency Supply Costs,NIYAA PEOPLE LTD,23/05/2018," 1,392.96 ",
Commercial Services,Property & Design (BiT),Employees,Agency Supply Costs,NIYAA PEOPLE LTD,23/05/2018, 773.03 ,
Commercial Services,Property & Design (BiT),Employees,Agency Supply Costs,NIYAA PEOPLE LTD,23/05/2018," 1,798.68 ",
Commercial Services,Property & Design (BiT),Employees,Agency Supply Costs,NIYAA PEOPLE LTD,31/05/2018," 1,741.20 ",
Commercial Services,Property & Design (BiT),Employees,Agency Supply Costs,NIYAA PEOPLE LTD,31/05/2018, 898.88 ,
Commercial Services,Property & Design (BiT),Capital Expenditure,Payments to Contractor,VPS (UK) LTD,23/05/2018, 211.35 ,
Commercial Services,Property & Design (BiT),Capital Expenditure,Payments to Contractor,PP ELECTRICAL SERVICES (Shropshire) Ltd,09/05/2018," 5,400.00 ",
Commercial Services,Property & Design (BiT),Capital Expenditure,Payments to Contractor,PP ELECTRICAL SERVICES (Shropshire) Ltd,09/05/2018," 8,691.06 ",
Commercial Services,Property & Design (BiT),Capital Expenditure,Payments to Contractor,DMW ENVIRONMENTAL SAFETY LTD,10/05/2018, 225.00 ,
Commercial Services,Property & Design (BiT),Capital Expenditure,Payments to Contractor,COOPER & WILLIAMS LTD,10/05/2018," 12,416.50 ",
Commercial Services,Property & Design (BiT),Capital Expenditure,Payments to Contractor,TBL Fire Protection Ltd,11/05/2018," 5,250.62 ",
Commercial Services,Property & Design (BiT),Capital Expenditure,Payments to Contractor,Mitie Tilley Roofing Ltd,11/05/2018," 4,558.15 ",
Commercial Services,Sport & Leisure,Transport-Related Expenditure,Fuel,ALLSTAR BUSINESS SOLUTIONS LTD,31/05/2018," 7,693.48 ",
Commercial Services,Sport & Leisure,Transport-Related Expenditure,Fuel,ALLSTAR BUSINESS SOLUTIONS LTD,14/05/2018," 8,093.23 ",
Commercial Services,Sport & Leisure,Supplies & Services,Equipment - Purchase,BUDGET GAS LTD,18/05/2018, 144.04 ,
Commercial Services,Sport & Leisure,Supplies & Services,Equipment - Purchase,BUDGET GAS LTD,02/05/2018, 144.04 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,22/05/2018, 221.70 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,31/05/2018, 141.34 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,31/05/2018, 117.58 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,14/05/2018, 163.84 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,14/05/2018, 182.41 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,14/05/2018, 215.03 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,23/05/2018, 233.57 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,04/05/2018, 467.88 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,04/05/2018, 196.62 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,31/05/2018, 197.33 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,04/05/2018, 121.89 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,04/05/2018, 187.99 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,04/05/2018, 123.62 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,31/05/2018, 129.82 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,31/05/2018, 119.62 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,31/05/2018, 230.16 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,14/05/2018, 118.96 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,14/05/2018, 118.21 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,23/05/2018, 124.01 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,23/05/2018, 253.87 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,23/05/2018, 128.09 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,23/05/2018, 120.38 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,23/05/2018, 131.63 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,04/05/2018, 221.12 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,31/05/2018, 216.16 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,31/05/2018, 100.99 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,14/05/2018, 114.43 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,14/05/2018, 165.99 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,14/05/2018, 108.98 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,14/05/2018, 208.50 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,14/05/2018, 410.74 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,14/05/2018, 468.81 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,14/05/2018, 690.45 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,23/05/2018, 179.88 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,31/05/2018, 253.21 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,31/05/2018, 362.62 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,31/05/2018, 241.35 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,31/05/2018, 106.84 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,14/05/2018, 312.84 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,14/05/2018, 556.70 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,31/05/2018, 105.52 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,31/05/2018, 459.53 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,31/05/2018, 553.99 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,31/05/2018, 250.62 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,31/05/2018, 401.75 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,31/05/2018, 177.43 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,04/05/2018, 113.69 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,04/05/2018, 164.25 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,04/05/2018, 284.15 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,04/05/2018, 127.40 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,04/05/2018, 127.40 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,31/05/2018, 181.19 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,04/05/2018, 363.02 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,04/05/2018, 504.08 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,04/05/2018, 366.10 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,04/05/2018, 576.28 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,04/05/2018, 521.78 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,04/05/2018, 127.40 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,04/05/2018, 104.35 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,04/05/2018, 127.40 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,04/05/2018, 130.08 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,04/05/2018, 111.22 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,04/05/2018, 223.21 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,04/05/2018, 192.04 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,23/05/2018, 366.23 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,23/05/2018, 200.09 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,23/05/2018, 430.35 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,04/05/2018, 641.95 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,04/05/2018, 105.18 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,04/05/2018, 823.69 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,23/05/2018, 165.81 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,23/05/2018, 337.24 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,23/05/2018, 195.83 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,23/05/2018, 121.00 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,23/05/2018, 390.42 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,23/05/2018, 333.06 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,23/05/2018, 112.44 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,23/05/2018, 472.60 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,23/05/2018, 691.90 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,23/05/2018, 104.55 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,23/05/2018, 489.50 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,23/05/2018, 183.26 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,14/05/2018, 104.54 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,14/05/2018, 106.96 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,14/05/2018, 162.26 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,14/05/2018, 208.03 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,23/05/2018, 289.97 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,23/05/2018, 171.84 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,14/05/2018, 117.55 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,14/05/2018, 158.95 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,14/05/2018, 254.00 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,14/05/2018, 120.44 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,14/05/2018, 368.29 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,14/05/2018, 244.08 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,14/05/2018, 351.01 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,14/05/2018, 128.29 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,14/05/2018, 107.64 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,14/05/2018, 441.95 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,14/05/2018, 154.94 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,14/05/2018, 237.94 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,14/05/2018, 159.76 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,14/05/2018, 212.62 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,14/05/2018, 306.77 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,14/05/2018, 148.34 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,14/05/2018, 137.67 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,14/05/2018, 155.33 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,14/05/2018, 271.37 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,14/05/2018, 209.51 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,14/05/2018, 145.53 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,14/05/2018, 192.81 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,14/05/2018, 113.21 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,14/05/2018, 166.83 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,14/05/2018, 688.34 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,14/05/2018, 120.04 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,14/05/2018, 105.99 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,14/05/2018, 164.97 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,14/05/2018, 169.17 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,14/05/2018, 104.73 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,14/05/2018, 338.72 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,14/05/2018, 150.56 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,14/05/2018, 103.82 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,14/05/2018, 336.38 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,14/05/2018, 326.57 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,14/05/2018, 236.81 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,14/05/2018, 369.41 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,14/05/2018, 255.51 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,14/05/2018, 728.94 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,14/05/2018, 182.31 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,14/05/2018, 256.66 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,14/05/2018, 103.93 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,14/05/2018, 350.08 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,14/05/2018, 250.08 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,14/05/2018, 114.65 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,14/05/2018, 260.13 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,14/05/2018, 102.40 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,14/05/2018, 540.01 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,14/05/2018, 234.02 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,14/05/2018, 194.59 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,14/05/2018, 154.61 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,14/05/2018, 132.44 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,14/05/2018, 109.74 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,14/05/2018, 105.11 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,31/05/2018, 131.57 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,31/05/2018, 108.31 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,31/05/2018, 120.33 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,14/05/2018, 179.71 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,14/05/2018, 190.53 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,14/05/2018, 278.49 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,31/05/2018, 394.32 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,31/05/2018, 169.76 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,31/05/2018, 233.35 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,31/05/2018, 248.64 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,31/05/2018, 107.26 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,31/05/2018, 337.52 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,31/05/2018, 159.09 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,31/05/2018, 149.40 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,31/05/2018, 120.40 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,31/05/2018, 167.35 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,31/05/2018, 338.69 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,31/05/2018, 123.47 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,31/05/2018, 121.72 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,31/05/2018, 123.28 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,31/05/2018, 324.50 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,31/05/2018, 234.41 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,31/05/2018, 188.50 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,31/05/2018, 157.24 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,31/05/2018, 136.24 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,31/05/2018, 140.64 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,31/05/2018, 110.96 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,31/05/2018, 151.67 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,31/05/2018, 355.79 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,31/05/2018, 166.53 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,31/05/2018, 149.96 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,31/05/2018, 557.17 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,31/05/2018, 224.26 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,31/05/2018, 219.03 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,31/05/2018, 119.55 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,31/05/2018, 117.93 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,31/05/2018, 345.34 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,31/05/2018, 204.46 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,31/05/2018, 192.45 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,31/05/2018, 231.14 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,31/05/2018, 229.82 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,31/05/2018, 133.60 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,31/05/2018, 167.17 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,31/05/2018, 181.73 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,31/05/2018, 175.45 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,31/05/2018, 364.22 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,31/05/2018, 208.47 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,31/05/2018, 378.19 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,31/05/2018, 244.46 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,31/05/2018, 218.74 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,31/05/2018, 111.88 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,31/05/2018, 117.22 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,31/05/2018, 213.34 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,31/05/2018, 247.09 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,31/05/2018, 142.47 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,31/05/2018, 491.30 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,31/05/2018, 529.36 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,31/05/2018, 162.82 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,31/05/2018, 125.21 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,31/05/2018, 107.22 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,31/05/2018, 348.27 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,31/05/2018, 120.54 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,31/05/2018, 186.91 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,31/05/2018, 125.14 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,31/05/2018, 107.97 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,31/05/2018, 245.52 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,31/05/2018, 189.32 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,BIKOLD,31/05/2018, 112.36 ,
