Service Delivery Area(T),Service Delivery Team(T),CostC,ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount,,,,
"Development, Business & Housing",Business & Development Planning,WDAF,Capital Expenditure,Other Capital Expenditure,DMW ENVIRONMENTAL SAFETY LTD,02/12/2013,150,,,,
"Development, Business & Housing",Business & Development Planning,WDAF,Capital Expenditure,Other Capital Expenditure,DMW ENVIRONMENTAL SAFETY LTD,02/12/2013,150,,,,
"Development, Business & Housing",Business & Development Planning,WDAF,Capital Expenditure,Other Capital Expenditure,THREE PINES BUILDING CO LTD,02/12/2013,538,,,,
"Development, Business & Housing",Business & Development Planning,WDAF,Capital Expenditure,Other Capital Expenditure,Safespaces,02/12/2013,6613,,,,
"Development, Business & Housing",Business & Development Planning,WDAF,Capital Expenditure,Other Capital Expenditure,DMW ENVIRONMENTAL SAFETY LTD,02/12/2013,108,,,,
"Development, Business & Housing",Business & Development Planning,WDAF,Capital Expenditure,Other Capital Expenditure,DMW ENVIRONMENTAL SAFETY LTD,02/12/2013,150,,,,
"Development, Business & Housing",Business & Development Planning,WDAF,Capital Expenditure,Other Capital Expenditure,REDACTED PERSONAL INFORMATION,09/12/2013,350,,,,
"Development, Business & Housing",Business & Development Planning,WDAF,Capital Expenditure,Other Capital Expenditure,POLLOCK LIFTS,09/12/2013,9090,,,,
"Development, Business & Housing",Business & Development Planning,WDAF,Capital Expenditure,Other Capital Expenditure,REDACTED PERSONAL INFORMATION,09/12/2013,5500,,,,
"Development, Business & Housing",Business & Development Planning,WDAF,Capital Expenditure,Other Capital Expenditure,ROSEMONT BUILDING CONTRACTORS,16/12/2013,7983.6,,,,
"Development, Business & Housing",Business & Development Planning,WDAF,Capital Expenditure,Other Capital Expenditure,PRISM MEDICAL WESTHOLME DIVISION,16/12/2013,1783.55,,,,
"Development, Business & Housing",Business & Development Planning,WDAF,Capital Expenditure,Other Capital Expenditure,REDACTED PERSONAL INFORMATION,23/12/2013,3100,,,,
"Development, Business & Housing",Business & Development Planning,WDST,Capital Expenditure,Payments to Contractor,PAVE AWAYS LTD,12/12/2013,152186.65,,,,
"Development, Business & Housing",Business & Development Planning,WDST,Capital Expenditure,Purchase of Buildings,MARTIN KAYE,05/12/2013,1691.54,,,,
"Development, Business & Housing",Business & Development Planning,WDST,Capital Expenditure,Legal Fees,MARTIN KAYE,05/12/2013,1696,,,,
"Development, Business & Housing",Business & Development Planning,WDST,Capital Expenditure,Payments to Contractor,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,05/12/2013,1960,,,,
"Development, Business & Housing",Business & Development Planning,WDST,Capital Expenditure,Payments to Contractor,BUSINESS WATCH GUARDING LIMITED,05/12/2013,540,,,,
"Development, Business & Housing",Business & Development Planning,WDST,Capital Expenditure,Payments to Contractor,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,05/12/2013,3285,,,,
"Development, Business & Housing",Business & Development Planning,WDST,Capital Expenditure,Compensation,GLYN UPTON REMOVALS,05/12/2013,420,,,,
"Development, Business & Housing",Business & Development Planning,WDST,Capital Expenditure,Payments to Contractor,REDACTED PERSONAL INFORMATION,05/12/2013,656.25,,,,
"Development, Business & Housing",Business & Development Planning,WDST,Capital Expenditure,Payments to Contractor,DMW ENVIRONMENTAL SAFETY LTD,16/12/2013,750,,,,
"Development, Business & Housing",Business & Development Planning,WDST,Capital Expenditure,Payments to Contractor,CYRIL ORCHARD MANAGEMENT LTD,16/12/2013,13600,,,,
"Development, Business & Housing",Business & Development Planning,WDST,Capital Expenditure,Payments to Contractor,BUSINESS WATCH GUARDING LIMITED,16/12/2013,585,,,,
"Development, Business & Housing",Development Management,DDAC,Supplies & Services,Legal Expenses,GRAYS HOTEL LTD,19/12/2013,125,,,,
"Development, Business & Housing",Development Management,DDAC,Supplies & Services,Legal Expenses,JOHN STEEL Q.C.,19/12/2013,3250,,,,
"Development, Business & Housing",Development Management,DDAG,Employees,Professional Subs,R T P I,02/12/2013,275,,,,
"Development, Business & Housing",Development Management,DDAG,Employees,Professional Subs,R T P I,09/12/2013,275,,,,
"Development, Business & Housing",Development Management,DDAG,Supplies & Services,Print & Data Services (Print Room) - Charges,RESOLUTION DATA MANAGEMENT LTD,19/12/2013,104.58,,,,
"Development, Business & Housing",Development Management,DDAG,Supplies & Services,Ordnance Survey And Maps,LANDMARK INFORMATION GROUP LTD,02/12/2013,105.46,,,,
"Development, Business & Housing",Property & Design,CAAG,Supplies & Services,Consultants Fees,MEDIATION WORKS,04/12/2013,1000,,,,
"Development, Business & Housing",Property & Design,CAAG,Supplies & Services,Consultants Fees,OLIVEJOYCE LTD,19/12/2013,3038.2,,,,
"Development, Business & Housing",Property & Design,CAAG,Supplies & Services,Consultants Fees,EMECH Consultants Ltd,04/12/2013,1440,,,,
"Development, Business & Housing",Property & Design,CAAG,Supplies & Services,Consultants Fees,EMECH Consultants Ltd,04/12/2013,1665.25,,,,
"Development, Business & Housing",Property & Design,CAAG,Supplies & Services,Consultants Fees,EMECH Consultants Ltd,04/12/2013,4267.9,,,,
"Development, Business & Housing",Property & Design,CAAG,Supplies & Services,Consultants Fees,OLIVEJOYCE LTD,10/12/2013,3475.1,,,,
"Development, Business & Housing",Property & Design,CAAG,Supplies & Services,Consultants Fees,OLIVEJOYCE LTD,02/12/2013,1606.95,,,,
"Development, Business & Housing",Property & Design,CAAG,Supplies & Services,Telephones,ORANGE PCS LTD,19/12/2013,119,,,,
"Development, Business & Housing",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,PRYCE (BUILDERS) LTD,19/12/2013,266.64,,,,
"Development, Business & Housing",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,CHUBB FIRE & SECURITY LTD,04/12/2013,827.78,,,,
"Development, Business & Housing",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,JCE & SONS LTD,04/12/2013,329.7,,,,
"Development, Business & Housing",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,BRITISH GAS SERVICES (COMMERCIAL) LTD,04/12/2013,130,,,,
"Development, Business & Housing",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,BRITISH GAS SERVICES (COMMERCIAL) LTD,04/12/2013,130,,,,
"Development, Business & Housing",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,WREKIN DRAIN SERVICES LTD,19/12/2013,145,,,,
"Development, Business & Housing",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,WREKIN DRAIN SERVICES LTD,19/12/2013,145,,,,
"Development, Business & Housing",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,WREKIN DRAIN SERVICES LTD,19/12/2013,140,,,,
"Development, Business & Housing",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,GROUND INVESTIGATION & PILING LTD,17/12/2013,525,,,,
"Development, Business & Housing",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,SHROPSHIRE HEATING SERVICES LTD,17/12/2013,112.5,,,,
"Development, Business & Housing",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,TAYLORS MECHANICAL H & P SERVICES LTD,19/12/2013,290.8,,,,
"Development, Business & Housing",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,SHROPSHIRE HEATING SERVICES LTD,19/12/2013,112,,,,
"Development, Business & Housing",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,SHROPSHIRE HEATING SERVICES LTD,17/12/2013,893.48,,,,
"Development, Business & Housing",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,JCE & SONS LTD,04/12/2013,1169,,,,
"Development, Business & Housing",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,JCE & SONS LTD,04/12/2013,641.2,,,,
"Development, Business & Housing",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,ERIC NEVILLE CATERING SUPPLIES LTD,04/12/2013,146.4,,,,
"Development, Business & Housing",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,AQUALOGIC (WC) LTD,04/12/2013,105,,,,
"Development, Business & Housing",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,JONES & HAMPTON LTD,04/12/2013,149.35,,,,
"Development, Business & Housing",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,NORRY & WARD,04/12/2013,1255,,,,
"Development, Business & Housing",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,WELLINGTON INSULATION CO. LTD,04/12/2013,300,,,,
"Development, Business & Housing",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,GRA-BERN,04/12/2013,104.8,,,,
"Development, Business & Housing",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,BRITISH GAS SERVICES (COMMERCIAL) LTD,04/12/2013,130,,,,
"Development, Business & Housing",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,BRITISH GAS SERVICES (COMMERCIAL) LTD,04/12/2013,130,,,,
"Development, Business & Housing",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,Oakley Maintenance,04/12/2013,108,,,,
"Development, Business & Housing",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,BRITISH GAS SERVICES (COMMERCIAL) LTD,04/12/2013,130,,,,
"Development, Business & Housing",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,BRITISH GAS SERVICES (COMMERCIAL) LTD,04/12/2013,130,,,,
"Development, Business & Housing",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,FORD-MAINWARING LIMITED,04/12/2013,237.5,,,,
"Development, Business & Housing",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,BRITISH GAS SERVICES (COMMERCIAL) LTD,04/12/2013,130,,,,
"Development, Business & Housing",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,BRITISH GAS SERVICES (COMMERCIAL) LTD,04/12/2013,195,,,,
"Development, Business & Housing",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,JONES & HAMPTON LTD,04/12/2013,1253,,,,
"Development, Business & Housing",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,JCE & SONS LTD,04/12/2013,779.8,,,,
"Development, Business & Housing",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,JCE & SONS LTD,04/12/2013,1243.9,,,,
"Development, Business & Housing",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,JCE & SONS LTD,04/12/2013,2887.5,,,,
"Development, Business & Housing",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,CHRIS BREEZE LTD,04/12/2013,335.62,,,,
"Development, Business & Housing",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,CHRIS BREEZE LTD,04/12/2013,207.22,,,,
"Development, Business & Housing",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,CHRIS BREEZE LTD,04/12/2013,265.8,,,,
"Development, Business & Housing",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,D P WILCOX & SON,04/12/2013,348.5,,,,
"Development, Business & Housing",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,D P WILCOX & SON,04/12/2013,338.5,,,,
"Development, Business & Housing",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,D P WILCOX & SON,04/12/2013,127.5,,,,
"Development, Business & Housing",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,D P WILCOX & SON,04/12/2013,255.5,,,,
"Development, Business & Housing",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,CHUBB FIRE & SECURITY LTD,04/12/2013,1126.46,,,,
"Development, Business & Housing",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,JCE & SONS LTD,04/12/2013,172.2,,,,
"Development, Business & Housing",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,A1 Glass & Glazing (Shropshire) Limited,04/12/2013,110,,,,
"Development, Business & Housing",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,WATERCLEAN SERVICES LTD,04/12/2013,300,,,,
"Development, Business & Housing",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,WREKIN DRAIN SERVICES LTD,04/12/2013,230,,,,
"Development, Business & Housing",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,WATERCLEAN SERVICES LTD,04/12/2013,300,,,,
"Development, Business & Housing",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,WATERCLEAN SERVICES LTD,04/12/2013,600,,,,
"Development, Business & Housing",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,BRITISH GAS SERVICES (COMMERCIAL) LTD,04/12/2013,130,,,,
"Development, Business & Housing",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,WATERCLEAN SERVICES LTD,04/12/2013,650,,,,
"Development, Business & Housing",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,MK Door Systems Ltd T/A Style Midlands,19/12/2013,410,,,,
"Development, Business & Housing",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,ADT FIRE & SECURITY PLC,19/12/2013,395,,,,
"Development, Business & Housing",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,COOPER & WILLIAMS LTD,19/12/2013,1133.56,,,,
"Development, Business & Housing",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,WREKIN DRAIN SERVICES LTD,19/12/2013,170,,,,
"Development, Business & Housing",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,PRYCE (BUILDERS) LTD,19/12/2013,300,,,,
"Development, Business & Housing",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,PRYCE (BUILDERS) LTD,19/12/2013,368.91,,,,
"Development, Business & Housing",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,WINDOW & DOOR CONTRACT SERVICES,16/12/2013,192.91,,,,
"Development, Business & Housing",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,WINDOW & DOOR CONTRACT SERVICES,16/12/2013,675.92,,,,
"Development, Business & Housing",Property & Design,CAAH,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),16/12/2013,1436.77,,,,
"Development, Business & Housing",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,BRITISH GAS SERVICES (COMMERCIAL) LTD,16/12/2013,252,,,,
"Development, Business & Housing",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,WINDOW & DOOR CONTRACT SERVICES,16/12/2013,355.54,,,,
"Development, Business & Housing",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,TREBLE PUMPING SERVICES LTD,16/12/2013,144.38,,,,
"Development, Business & Housing",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,TREBLE PUMPING SERVICES LTD,16/12/2013,144.38,,,,
"Development, Business & Housing",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,TREBLE PUMPING SERVICES LTD,16/12/2013,144.38,,,,
"Development, Business & Housing",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,BRITISH GAS SERVICES (COMMERCIAL) LTD,16/12/2013,283.5,,,,
"Development, Business & Housing",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,BRITISH GAS SERVICES (COMMERCIAL) LTD,16/12/2013,252,,,,
"Development, Business & Housing",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,BRITISH GAS SERVICES (COMMERCIAL) LTD,16/12/2013,315,,,,
"Development, Business & Housing",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,BRITISH GAS SERVICES (COMMERCIAL) LTD,16/12/2013,315,,,,
"Development, Business & Housing",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,SDT ELECTRICAL LTD,16/12/2013,155,,,,
"Development, Business & Housing",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,NOBRIDGE LTD,16/12/2013,175,,,,
"Development, Business & Housing",Property & Design,CAAH,Premises-Related Expenditure,Gas,West Mercia Energy (WME),16/12/2013,1172.08,,,,
"Development, Business & Housing",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,BRITISH GAS SERVICES (COMMERCIAL) LTD,16/12/2013,189,,,,
"Development, Business & Housing",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,CHUBB FIRE & SECURITY LTD,17/12/2013,-117.21,,,,
"Development, Business & Housing",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,A1 Glass & Glazing (Shropshire) Limited,17/12/2013,120,,,,
"Development, Business & Housing",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,SHROPSHIRE HEATING SERVICES LTD,17/12/2013,638.52,,,,
"Development, Business & Housing",Property & Design,CAAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,CHUBB FIRE & SECURITY LTD,17/12/2013,-586.05,,,,
"Development, Business & Housing",Property & Design,CAAH,Transport-Related Expenditure,Overheads,TREBLE PUMPING SERVICES LTD,16/12/2013,144.38,,,,
"Development, Business & Housing",Property & Design,COAE,Premises-Related Expenditure,R&M -Buildings DLO Charge,FCC RECYCLING (UK) LIMITED,11/12/2013,416.26,,,,
"Development, Business & Housing",Property & Design,COAE,Premises-Related Expenditure,R&M -Buildings DLO Charge,JONES & HAMPTON LTD,04/12/2013,437.97,,,,
"Development, Business & Housing",Property & Design,COAE,Premises-Related Expenditure,R&M -Buildings DLO Charge,JONES & HAMPTON LTD,05/12/2013,106.54,,,,
"Development, Business & Housing",Property & Design,COAE,Premises-Related Expenditure,R&M -Buildings DLO Charge,DMW ENVIRONMENTAL SAFETY LTD,05/12/2013,175,,,,
"Development, Business & Housing",Property & Design,COAE,Premises-Related Expenditure,R&M -Buildings DLO Charge,GRA-BERN,05/12/2013,826,,,,
"Development, Business & Housing",Property & Design,COAE,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),12/12/2013,854.8,,,,
"Development, Business & Housing",Property & Design,COAE,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),12/12/2013,1242.15,,,,
"Development, Business & Housing",Property & Design,COAE,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),12/12/2013,118.01,,,,
"Development, Business & Housing",Property & Design,COAE,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),12/12/2013,2836.54,,,,
"Development, Business & Housing",Property & Design,COAE,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),12/12/2013,1038.6,,,,
"Development, Business & Housing",Property & Design,COAE,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),12/12/2013,350.43,,,,
"Development, Business & Housing",Property & Design,COAE,Premises-Related Expenditure,R&M -Buildings DLO Charge,EVAC+CHAIR INTERNATIONAL LTD,19/12/2013,365,,,,
"Development, Business & Housing",Property & Design,COAE,Premises-Related Expenditure,Water Rates,SEVERN TRENT WATER LTD,06/12/2013,4007.74,,,,
"Development, Business & Housing",Property & Design,COAE,Premises-Related Expenditure,R&M -Buildings DLO Charge,NYKE ENERGY SERVICES LIMITED,06/12/2013,135,,,,
"Development, Business & Housing",Property & Design,COAE,Premises-Related Expenditure,General Rents,COMBINED PROPERTY CONTROL,02/12/2013,315.59,,,,
"Development, Business & Housing",Property & Design,COAE,Premises-Related Expenditure,Water Rates,SEVERN TRENT WATER LTD,13/12/2013,710.27,,,,
"Development, Business & Housing",Property & Design,COAE,Premises-Related Expenditure,Trade Refuse,FCC RECYCLING (UK) LIMITED,09/12/2013,448.28,,,,
"Development, Business & Housing",Property & Design,COAE,Premises-Related Expenditure,Service Contracts,BRITISH GAS SERVICES (COMMERCIAL) LTD,16/12/2013,252,,,,
"Development, Business & Housing",Property & Design,COAE,Premises-Related Expenditure,Electricity,NPOWER LIMITED,17/12/2013,1198.69,,,,
"Development, Business & Housing",Property & Design,COAE,Premises-Related Expenditure,Trade Refuse,FCC RECYCLING (UK) LIMITED,17/12/2013,170.82,,,,
"Development, Business & Housing",Property & Design,COAE,Premises-Related Expenditure,Water Rates,SEVERN TRENT WATER LTD,17/12/2013,2608.64,,,,
"Development, Business & Housing",Property & Design,COAE,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),23/12/2013,187.76,,,,
"Development, Business & Housing",Property & Design,COAE,Premises-Related Expenditure,Gas,West Mercia Energy (WME),23/12/2013,1499.14,,,,
"Development, Business & Housing",Property & Design,COAE,Premises-Related Expenditure,Gas,West Mercia Energy (WME),23/12/2013,2760.99,,,,
"Development, Business & Housing",Property & Design,COAE,Premises-Related Expenditure,R&M -Buildings DLO Charge,VINCI PARK SERVICES UK LTD,24/12/2013,145,,,,
"Development, Business & Housing",Property & Design,COAE,Premises-Related Expenditure,R&M -Buildings DLO Charge,EVAC+CHAIR INTERNATIONAL LTD,24/12/2013,365,,,,
"Development, Business & Housing",Property & Design,COAE,Premises-Related Expenditure,R&M -Buildings DLO Charge,ABC FIRE & SECURITY LTD,03/12/2013,325,,,,
"Development, Business & Housing",Property & Design,COAE,Premises-Related Expenditure,R&M -Buildings DLO Charge,ABC FIRE & SECURITY LTD,04/12/2013,160,,,,
"Development, Business & Housing",Property & Design,COAE,Supplies & Services,Comp Hardware (Purch / Hire),XMA LIMITED,12/12/2013,401.79,,,,
"Development, Business & Housing",Property & Design,COAG,Premises-Related Expenditure,Service Contracts,GRA-BERN,16/12/2013,102.33,,,,
"Development, Business & Housing",Property & Design,COAG,Premises-Related Expenditure,R&M -Buildings DLO Charge,SICO EUROPE LTD,19/12/2013,326,,,,
"Development, Business & Housing",Property & Design,COAG,Premises-Related Expenditure,R&M -Buildings DLO Charge,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,02/12/2013,195,,,,
"Development, Business & Housing",Property & Design,COAG,Premises-Related Expenditure,R&M -Buildings DLO Charge,HERRON CLEANING SERVICES,02/12/2013,247.52,,,,
"Development, Business & Housing",Property & Design,COAG,Premises-Related Expenditure,R&M -Buildings DLO Charge,A HAND SERVICES (Dyno Rod) LTD,02/12/2013,315,,,,
"Development, Business & Housing",Property & Design,COAG,Premises-Related Expenditure,Service Contracts,HERRON CLEANING SERVICES,02/12/2013,174.72,,,,
"Development, Business & Housing",Property & Design,COAG,Premises-Related Expenditure,Service Contracts,HERRON CLEANING SERVICES,02/12/2013,174.72,,,,
"Development, Business & Housing",Property & Design,COAG,Premises-Related Expenditure,Service Contracts,BRITISH GAS SERVICES (COMMERCIAL) LTD,16/12/2013,126,,,,
"Development, Business & Housing",Property & Design,COAH,Premises-Related Expenditure,Gas,West Mercia Energy (WME),23/12/2013,-415.91,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,Zumtobel,04/12/2013,768,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,Airedale International Air Conditioning Ltd,04/12/2013,748,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,ADT FIRE & SECURITY PLC,19/12/2013,2977,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,WINDOW & DOOR CONTRACT SERVICES,19/12/2013,202.96,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,JONES & HAMPTON LTD,04/12/2013,118.47,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,JONES & HAMPTON LTD,04/12/2013,205.85,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,JONES & HAMPTON LTD,04/12/2013,509.91,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,JONES & HAMPTON LTD,04/12/2013,1652.34,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,JONES & HAMPTON LTD,04/12/2013,234.81,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,JONES & HAMPTON LTD,04/12/2013,152.9,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,JONES & HAMPTON LTD,04/12/2013,185.2,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,JONES & HAMPTON LTD,04/12/2013,243.05,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,JONES & HAMPTON LTD,04/12/2013,241.86,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,JONES & HAMPTON LTD,04/12/2013,276.04,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,JONES & HAMPTON LTD,04/12/2013,288.05,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,JONES & HAMPTON LTD,04/12/2013,225.96,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,JONES & HAMPTON LTD,04/12/2013,109.69,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,JONES & HAMPTON LTD,04/12/2013,918.65,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,JONES & HAMPTON LTD,04/12/2013,105.85,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,DODD GROUP (MIDLANDS) LTD,04/12/2013,1670.82,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,JONES & HAMPTON LTD,04/12/2013,369.75,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,02/12/2013,179.9,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,02/12/2013,675,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,02/12/2013,411.7,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,ADT FIRE & SECURITY PLC,02/12/2013,125.4,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,AQUA LEISURE LIMITED,19/12/2013,1004,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,HORTON AUTOMATICS LTD,19/12/2013,120,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,RMW ELECTRICAL SERVICES LTD,19/12/2013,125,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,AQUA LEISURE LIMITED,19/12/2013,860,,,,
