Service Delivery Area(T),Service Delivery Team(T),CostC,ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,04/07/2013,213.8,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,04/07/2013,127.87,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,04/07/2013,131.66,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,04/07/2013,227.89,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,04/07/2013,126.65,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,04/07/2013,106.3,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,WELSH BROS FOODS LTD,04/07/2013,104.75,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,WELSH BROS FOODS LTD,04/07/2013,103.35,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,WELSH BROS FOODS LTD,04/07/2013,107.25,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,WELSH BROS FOODS LTD,04/07/2013,124.5,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,WELSH BROS FOODS LTD,04/07/2013,171.78,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,WELSH BROS FOODS LTD,04/07/2013,171.03,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,WELSH BROS FOODS LTD,04/07/2013,129.85,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,WELSH BROS FOODS LTD,04/07/2013,124.75,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,04/07/2013,121.08,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,04/07/2013,162.63,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,04/07/2013,151.9,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,04/07/2013,119.49,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,04/07/2013,239.48,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,04/07/2013,151.73,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,04/07/2013,115.2,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,04/07/2013,156.51,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,THE FABULOUS BAKIN BOYS,08/07/2013,117.62,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,THE FABULOUS BAKIN BOYS,08/07/2013,117.62,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,SMART FOOD,08/07/2013,697.83,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,G N BADLEY & SONS,08/07/2013,132.48,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,G N BADLEY & SONS,08/07/2013,118.71,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,G N BADLEY & SONS,08/07/2013,198.68,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,12/07/2013,159.55,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,12/07/2013,164.61,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,12/07/2013,210.3,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,12/07/2013,198.14,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,12/07/2013,102.81,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,FRESHVIEW FOODS LTD,19/07/2013,123.58,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,G N BADLEY & SONS,24/07/2013,152.69,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,G N BADLEY & SONS,24/07/2013,262.54,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,WELSH BROS FOODS LTD,16/07/2013,107.83,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,WELSH BROS FOODS LTD,16/07/2013,116.6,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,WELSH BROS FOODS LTD,16/07/2013,128.5,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,WELSH BROS FOODS LTD,16/07/2013,114.56,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,WELSH BROS FOODS LTD,16/07/2013,112.3,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,WELSH BROS FOODS LTD,16/07/2013,101.28,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,WELSH BROS FOODS LTD,16/07/2013,132.5,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,WELSH BROS FOODS LTD,16/07/2013,104.73,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,SAFY IMPEX T/A SPICE TIME,24/07/2013,154.5,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,16/07/2013,106.89,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,16/07/2013,123.16,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,16/07/2013,191.37,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,16/07/2013,103.63,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,16/07/2013,179.23,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,16/07/2013,119.99,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,WELSH BROS FOODS LTD,16/07/2013,108.8,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,WELSH BROS FOODS LTD,16/07/2013,109.75,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,WELSH BROS FOODS LTD,16/07/2013,154.5,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,WELSH BROS FOODS LTD,16/07/2013,145.13,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,WELSH BROS FOODS LTD,16/07/2013,122.5,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,WELSH BROS FOODS LTD,16/07/2013,136.44,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,16/07/2013,126.61,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,FRESHVIEW FOODS LTD,16/07/2013,122.08,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,FRESHVIEW FOODS LTD,16/07/2013,-368.53,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,FRESHVIEW FOODS LTD,16/07/2013,100.04,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,FRESHVIEW FOODS LTD,16/07/2013,183.53,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,FRESHVIEW FOODS LTD,16/07/2013,108.47,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,FRESHVIEW FOODS LTD,16/07/2013,102.88,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,FRESHVIEW FOODS LTD,16/07/2013,395.07,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,16/07/2013,190.9,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,16/07/2013,198.64,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,16/07/2013,114.57,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,FRESHVIEW FOODS LTD,16/07/2013,127.48,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,FRESHVIEW FOODS LTD,16/07/2013,119.12,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,FRESHVIEW FOODS LTD,16/07/2013,105.99,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,FRESHVIEW FOODS LTD,16/07/2013,130.89,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,FRESHVIEW FOODS LTD,16/07/2013,105.2,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,FRESHVIEW FOODS LTD,16/07/2013,175.87,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,FRESHVIEW FOODS LTD,16/07/2013,203.55,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,FRESHVIEW FOODS LTD,19/07/2013,126.2,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,WELSH BROS FOODS LTD,19/07/2013,144.54,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,WELSH BROS FOODS LTD,19/07/2013,102,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,WELSH BROS FOODS LTD,19/07/2013,139.63,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,FRESHVIEW FOODS LTD,19/07/2013,129.45,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,FRESHVIEW FOODS LTD,19/07/2013,163.06,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,19/07/2013,135.63,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,19/07/2013,124.06,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,19/07/2013,128.01,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,19/07/2013,187.54,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,19/07/2013,275.53,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,19/07/2013,171.78,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,19/07/2013,155.38,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,19/07/2013,141.8,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,19/07/2013,115.46,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,19/07/2013,219.65,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,19/07/2013,209.51,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,19/07/2013,204.22,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,19/07/2013,154.97,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,19/07/2013,112.36,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,19/07/2013,134.07,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,19/07/2013,140.23,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,19/07/2013,103.79,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,19/07/2013,102.11,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,19/07/2013,128.66,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,19/07/2013,105,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,19/07/2013,161.03,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,19/07/2013,112.9,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,19/07/2013,238.59,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,19/07/2013,185.34,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,19/07/2013,126.62,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,19/07/2013,218.43,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,19/07/2013,135.88,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,19/07/2013,163.06,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,19/07/2013,272.42,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,19/07/2013,254.53,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,19/07/2013,102.83,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,19/07/2013,128.71,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,19/07/2013,112.39,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,BIKOLD,19/07/2013,164.39,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,THE FABULOUS BAKIN BOYS,22/07/2013,117.62,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,SAFY IMPEX T/A SPICE TIME,22/07/2013,110,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,G N BADLEY & SONS,22/07/2013,130.69,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,G N BADLEY & SONS,22/07/2013,269.15,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,G N BADLEY & SONS,22/07/2013,161.43,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,FRESHVIEW FOODS LTD,19/07/2013,167.56,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,FRESHVIEW FOODS LTD,19/07/2013,105.54,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,FRESHVIEW FOODS LTD,19/07/2013,152.48,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,19/07/2013,103.52,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,19/07/2013,182.1,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,12/07/2013,172.37,,
Customer & People Services,Catering & Home Care,CASP,Supplies & Services,Provisions,ROWLANDS & COMPANY,12/07/2013,120.15,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,THE FABULOUS BAKIN BOYS,03/07/2013,105.42,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,SMART FOOD,03/07/2013,503,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,SMART FOOD,03/07/2013,229.2,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,11/07/2013,214.16,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,11/07/2013,387.05,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,11/07/2013,104.59,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,11/07/2013,176.12,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,11/07/2013,162.09,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,11/07/2013,227.04,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,11/07/2013,152.64,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,11/07/2013,101.39,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,11/07/2013,232.75,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,11/07/2013,370.15,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,11/07/2013,139.42,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,11/07/2013,176.93,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,11/07/2013,206.37,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,11/07/2013,192.59,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,04/07/2013,326.77,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,04/07/2013,135,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,04/07/2013,164.28,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,04/07/2013,116.35,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,04/07/2013,105.66,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,04/07/2013,210.29,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,04/07/2013,160.62,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,04/07/2013,111.53,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,04/07/2013,130.04,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,04/07/2013,236.63,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,04/07/2013,119.05,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,04/07/2013,259.92,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,04/07/2013,467.54,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,04/07/2013,152.4,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,04/07/2013,270.19,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,04/07/2013,119,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,04/07/2013,322.31,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,04/07/2013,142.2,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,11/07/2013,184.93,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,THE FABULOUS BAKIN BOYS,08/07/2013,160.39,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,THE FABULOUS BAKIN BOYS,08/07/2013,114.73,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,SMART FOOD,08/07/2013,367,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Computer Hardware (Maint),NATIONWIDE RETAIL SYSTEMS LTD,16/07/2013,107,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,WELSH BROS FOODS LTD,16/07/2013,144.24,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,THE FABULOUS BAKIN BOYS,24/07/2013,121.02,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,19/07/2013,369.56,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,19/07/2013,231.59,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,19/07/2013,193.65,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,BIKOLD,19/07/2013,382.57,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,SMART FOOD,22/07/2013,384.4,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,SMART FOOD,22/07/2013,501.6,,
Customer & People Services,Catering & Home Care,CASS,Supplies & Services,Provisions,SLUSH PUPPIE LTD,22/07/2013,137.2,,
Customer & People Services,Catering & Home Care,CASX,Supplies & Services,Provisions,BIKOLD,11/07/2013,102.32,,
Customer & People Services,Catering & Home Care,CASX,Supplies & Services,Provisions,BIKOLD,04/07/2013,105,,
Customer & People Services,Catering & Home Care,CASX,Supplies & Services,Provisions,BIKOLD,04/07/2013,129.83,,
Customer & People Services,Catering & Home Care,CASX,Supplies & Services,Provisions,SMART FOOD,08/07/2013,229.2,,
Customer & People Services,Catering & Home Care,CASX,Supplies & Services,Provisions,FRESHVIEW FOODS LTD,16/07/2013,104.64,,
Customer & People Services,Catering & Home Care,CFAN,Premises-Related Expenditure,R&M -Buildings DLO Charge,FIRE MARQUE,01/07/2013,250,,
Customer & People Services,Catering & Home Care,COMM,Supplies & Services,Provisions,BIKOLD,11/07/2013,101.53,,
Customer & People Services,Catering & Home Care,COMM,Supplies & Services,Provisions,BIKOLD,11/07/2013,133.58,,
Customer & People Services,Catering & Home Care,COMM,Supplies & Services,Provisions,BIKOLD,11/07/2013,357.95,,
Customer & People Services,Catering & Home Care,COMM,Supplies & Services,Provisions,BIKOLD,11/07/2013,111.65,,
Customer & People Services,Catering & Home Care,COMM,Supplies & Services,Provisions,BIKOLD,11/07/2013,161.07,,
Customer & People Services,Catering & Home Care,COMM,Supplies & Services,Provisions,G N BADLEY & SONS,08/07/2013,275.86,,
Customer & People Services,Catering & Home Care,COMM,Supplies & Services,Provisions,G N BADLEY & SONS,08/07/2013,238.3,,
Customer & People Services,Catering & Home Care,COMM,Supplies & Services,Promotion Expenses,SIGNS EXPRESS (TELFORD),18/07/2013,1954,,
Customer & People Services,Catering & Home Care,COMM,Supplies & Services,Provisions,BIKOLD,19/07/2013,125.9,,
Customer & People Services,Catering & Home Care,COMM,Supplies & Services,Provisions,BIKOLD,19/07/2013,180.71,,
Customer & People Services,Catering & Home Care,COMM,Supplies & Services,Provisions,BIKOLD,19/07/2013,153.22,,
Customer & People Services,Catering & Home Care,COMM,Supplies & Services,Provisions,BIKOLD,19/07/2013,328.13,,
Customer & People Services,Catering & Home Care,COMM,Supplies & Services,Provisions,BIKOLD,19/07/2013,101.34,,
Customer & People Services,Catering & Home Care,COMM,Supplies & Services,Provisions,G N BADLEY & SONS,23/07/2013,253.43,,
Customer & People Services,Customer & Registrars Services,LMAA,Supplies & Services,Translation Services,VISS LTD,11/07/2013,125,,
Customer & People Services,Customer & Registrars Services,LMAA,Supplies & Services,Furniture - Purchase,CHRISBEON OFFICE SUPPLIES,22/07/2013,400,,
Customer & People Services,Customer & Registrars Services,LMAA,Supplies & Services,Printing - Other,TUDOR PRINT & SIGNS,25/07/2013,108,,
Customer & People Services,Customer & Registrars Services,LMAA,Supplies & Services,Protective Clothing,IMAGE@WORK LTD,23/07/2013,103.1,,
Customer & People Services,Customer & Registrars Services,LSAA,Supplies & Services,Equipment - Purchase,RAILEX PROJECTS LTD,11/07/2013,472.64,,
Customer & People Services,Customer & Registrars Services,LSAA,Supplies & Services,Equipment - Purchase,SPECIALIST COMPUTERS CENTRES PLC,22/07/2013,340.2,,
Customer & People Services,Customer & Registrars Services,LSAB,Premises-Related Expenditure,Grounds Maintenance - Cemeteries,P & W MAINTENANCE CONTRACTING LTD,16/07/2013,2440.42,,
Customer & People Services,Customer & Registrars Services,LSAB,Premises-Related Expenditure,Grounds Maintenance - Cemeteries,P & W MAINTENANCE CONTRACTING LTD,16/07/2013,4264.73,,
Customer & People Services,Customer & Registrars Services,LSAB,Supplies & Services,Funeral Services,HARRY EDWARDS & SONS FUNERAL DIRECTORS,01/07/2013,607,,
Customer & People Services,ICT,CBAB,Employees,Agency Supply Costs,EVOLUTION RECRUITMENT SOLUTIONS LTD,12/07/2013,637.5,,
Customer & People Services,ICT,CBAB,Employees,Agency Supply Costs,EVOLUTION RECRUITMENT SOLUTIONS LTD,04/07/2013,620.5,,
Customer & People Services,ICT,CBAB,Employees,Agency Supply Costs,EVOLUTION RECRUITMENT SOLUTIONS LTD,04/07/2013,680,,
Customer & People Services,ICT,CBAB,Employees,Agency Supply Costs,EVOLUTION RECRUITMENT SOLUTIONS LTD,12/07/2013,407,,
Customer & People Services,ICT,CBAB,Employees,Agency Supply Costs,EVOLUTION RECRUITMENT SOLUTIONS LTD,12/07/2013,612,,
Customer & People Services,ICT,CBAB,Employees,Agency Supply Costs,EVOLUTION RECRUITMENT SOLUTIONS LTD,23/07/2013,407,,
Customer & People Services,ICT,CBAB,Employees,Agency Supply Costs,EVOLUTION RECRUITMENT SOLUTIONS LTD,23/07/2013,527,,
Customer & People Services,ICT,CBAB,Employees,Agency Supply Costs,EVOLUTION RECRUITMENT SOLUTIONS LTD,23/07/2013,641.75,,
Customer & People Services,ICT,CBAB,Employees,Agency Supply Costs,EVOLUTION RECRUITMENT SOLUTIONS LTD,31/07/2013,697,,
Customer & People Services,ICT,CBAB,Employees,Agency Supply Costs,EVOLUTION RECRUITMENT SOLUTIONS LTD,31/07/2013,407,,
Customer & People Services,ICT,CBAB,Employees,Agency Supply Costs,EVOLUTION RECRUITMENT SOLUTIONS LTD,31/07/2013,595,,
Customer & People Services,ICT,CBAB,Employees,Agency Supply Costs,EVOLUTION RECRUITMENT SOLUTIONS LTD,12/07/2013,654.5,,
Customer & People Services,ICT,CBAB,Employees,Agency Supply Costs,EVOLUTION RECRUITMENT SOLUTIONS LTD,12/07/2013,409.75,,
Customer & People Services,ICT,CBAB,Employees,Agency Supply Costs,EVOLUTION RECRUITMENT SOLUTIONS LTD,12/07/2013,552.5,,
Customer & People Services,ICT,CBAF,Supplies & Services,Comp Hardware (Purch / Hire),ORANGE PERSONAL COMM SERVICES LTD,04/07/2013,303.83,,
Customer & People Services,ICT,CBAF,Supplies & Services,Comp Hardware (Purch / Hire),ORANGE PERSONAL COMM SERVICES LTD,04/07/2013,679.29,,
Customer & People Services,ICT,CBAF,Supplies & Services,Equipment - Purchase,WREKIN SERVICES LTD,10/07/2013,6638,,
Customer & People Services,ICT,CBAF,Supplies & Services,Equipment - Purchase,WREKIN SERVICES LTD,08/07/2013,553.32,,
Customer & People Services,ICT,CBAF,Supplies & Services,Equipment - Purchase,EUROPEAN ELECTRONIQUE LTD,08/07/2013,910,,
Customer & People Services,ICT,CBAG,Supplies & Services,Telephones,VIRGIN MEDIA BUSINESS,04/07/2013,9594.2,,
Customer & People Services,ICT,CBAG,Supplies & Services,Telephones,VIRGIN MEDIA BUSINESS,04/07/2013,9521.65,,
Customer & People Services,ICT,CBAG,Supplies & Services,Mobile Phones,ORANGE PERSONAL COMM SERVICES LTD,04/07/2013,1527.19,,
Customer & People Services,ICT,CBAG,Supplies & Services,Mobile Phones,ORANGE PERSONAL COMM SERVICES LTD,04/07/2013,19025.94,,
Customer & People Services,ICT,CBAG,Supplies & Services,Mobile Phones,ORANGE PERSONAL COMM SERVICES LTD,04/07/2013,717.83,,
Customer & People Services,ICT,CBAG,Supplies & Services,Mobile Phones,ORANGE PERSONAL COMM SERVICES LTD,04/07/2013,7768.44,,
Customer & People Services,ICT,CBAG,Supplies & Services,Other Expenses,PROCESS FLOWS UK LTD,12/07/2013,633.76,,
Customer & People Services,ICT,CBAG,Supplies & Services,Telephones,CCS MEDIA LIMITED,24/07/2013,470,,
Customer & People Services,ICT,CBAG,Supplies & Services,Mobile Phones,ORANGE PERSONAL COMM SERVICES LTD,12/07/2013,283.96,,
